episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,1,-200.107,6.327,28.842,0.000,0.000,0,collision
2,9,-45.677,14.139,39.219,0.000,0.037,1,goal
3,6,-201.229,10.071,252.885,0.000,0.124,0,collision
4,2,50.747,36.105,32.442,0.000,0.000,1,goal
5,3,-199.870,20.317,35.030,0.000,0.337,0,collision
6,2,50.623,9.879,45.880,0.000,0.000,1,goal
7,1,50.349,20.769,62.129,0.000,0.000,1,goal
8,15,-59.843,10.356,-39.113,0.000,0.002,1,goal
9,8,-50.707,17.651,16.073,0.000,0.000,1,goal
10,4,48.533,10.504,59.337,0.000,0.079,1,goal
11,1,0.000,0.000,0.000,0.000,0.000,0,not_found
12,2,-200.064,9.175,36.155,0.000,0.307,0,collision
13,1,-199.731,18.115,57.596,0.000,0.000,0,collision
14,1,50.128,16.995,32.333,0.000,0.000,1,goal
15,2,-199.729,10.800,46.354,0.000,0.454,0,collision
16,5,-198.407,26.195,111.509,0.000,0.063,0,collision
17,3,51.342,34.179,52.374,0.000,0.296,1,goal
18,1,-199.690,18.182,58.116,0.000,0.383,0,collision
19,6,50.050,17.019,-45.173,0.000,0.011,1,goal
20,1,0.000,0.000,0.000,0.000,0.000,0,not_found
21,2,-199.465,12.762,80.760,0.000,0.154,0,collision
22,2,-199.253,26.840,97.946,0.000,0.177,0,collision
23,10,-53.363,13.924,86.691,0.000,0.131,1,goal
24,2,-199.821,6.704,46.148,0.000,0.037,0,collision
25,1,0.000,0.000,0.000,0.000,0.000,0,not_found
26,9,43.048,6.263,59.529,0.000,0.000,1,goal
27,4,48.654,11.718,268.726,0.000,0.000,1,goal
28,3,-201.005,6.186,47.663,0.000,0.248,0,collision
29,3,-200.427,22.321,46.565,0.000,0.498,0,collision
30,5,-198.093,10.489,66.496,0.000,0.000,0,collision
31,3,-198.733,18.996,184.720,0.000,0.000,0,collision
32,1,0.000,0.000,0.000,0.000,0.000,0,not_found
33,3,-199.810,18.947,12.071,0.000,0.098,0,collision
34,4,48.169,4.971,111.971,0.000,0.213,1,goal
