episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,38,-198.41,6.13,127.94,0.0067,0.0098,0,collision
2,39,-203.56,2.51,72.82,0.0348,0.0000,0,collision
3,70,-199.97,2.55,124.77,0.0010,0.0000,0,collision
4,305,-208.98,5.37,533.28,0.0033,0.0025,0,collision
5,9,-206.64,0.26,2.46,0.0764,0.2213,0,collision
6,27,-203.96,1.59,27.13,0.0245,0.0000,0,collision
7,22,-201.42,4.24,74.61,0.0755,0.0000,0,collision
8,33,-202.35,2.45,54.81,0.0223,0.0000,0,collision
9,32,-206.75,1.96,41.15,0.0107,0.0000,0,collision
10,22,-212.10,0.70,6.66,0.0486,0.0000,0,collision
1,225,-177.75,6.64,662.11,0.0080,0.0000,0,collision
2,32,-200.94,2.89,49.83,0.0241,0.0152,0,collision
3,48,-214.96,1.51,50.94,0.0168,0.0000,0,collision
4,39,-191.22,5.31,115.29,0.0198,0.0024,0,collision
5,107,-180.96,6.13,406.88,0.0100,0.0060,0,collision
6,43,-217.57,1.44,37.93,0.0188,0.0000,0,collision
7,84,-184.71,7.47,318.43,0.0162,0.0000,0,collision
8,39,-195.19,2.49,60.76,0.0296,0.0122,0,collision
9,4,-201.59,0.52,1.94,0.0089,0.0000,0,collision
10,70,-221.32,1.82,97.74,0.0125,0.0000,0,collision
11,9,-198.76,3.25,12.78,0.1302,0.0000,0,collision
12,3,-201.87,0.00,0.20,0.2827,0.0000,0,collision
13,59,-174.09,17.17,154.33,0.0239,0.0332,0,collision
14,56,-204.24,2.53,109.39,0.0048,0.0138,0,collision
15,41,-204.34,3.24,79.50,0.0193,0.0366,0,collision
16,75,-211.29,2.99,148.82,0.0135,0.0245,0,collision
17,38,-212.23,1.30,41.80,0.0221,0.0000,0,collision
18,6,-201.83,0.84,2.75,0.1752,0.1360,0,collision
19,30,-205.49,3.77,130.75,0.0299,0.0566,0,collision
20,277,-195.72,5.11,777.89,0.0031,0.0088,0,collision
21,53,-179.78,7.17,220.06,0.0279,0.0000,0,collision
22,75,-208.44,2.56,130.83,0.0128,0.0000,0,collision
23,126,-212.99,2.70,209.67,0.0093,0.0025,0,collision
24,76,-191.87,5.88,178.33,0.0139,0.0000,0,collision
25,21,-209.06,1.35,20.77,0.0587,0.0291,0,collision
26,96,-224.07,1.87,106.53,0.0068,0.0000,0,collision
27,8,-204.49,0.57,1.99,0.0943,0.0000,0,collision
28,17,-205.38,1.41,22.19,0.0488,0.0000,0,collision
29,27,-203.46,1.72,34.07,0.0284,0.0000,0,collision
30,21,-208.88,0.96,11.84,0.0512,0.0000,0,collision
31,12,-203.23,1.43,16.04,0.0351,0.0260,0,collision
32,22,-197.67,3.77,52.29,0.0235,0.0000,0,collision
33,72,-227.79,1.49,75.84,0.0073,0.0000,0,collision
34,6,-200.65,0.88,3.29,0.2679,0.0000,0,collision
35,147,-188.76,5.85,663.37,0.0072,0.1101,0,collision
36,187,-185.39,5.54,586.82,0.0034,0.0000,0,collision
37,10,-204.64,0.82,5.28,0.0518,0.0000,0,collision
38,77,-174.91,8.41,412.71,0.0038,0.0076,0,collision
39,78,-196.01,7.86,186.33,0.0101,0.0911,0,collision
40,59,-180.40,11.11,240.93,0.0303,0.0133,0,collision
41,29,-200.65,2.58,51.96,0.0315,0.0000,0,collision
42,203,-145.39,7.01,791.58,0.0010,0.0169,0,collision
43,11,-198.19,3.23,28.31,0.0823,0.0000,0,collision
44,52,-180.15,12.78,100.85,0.0260,0.0040,0,collision
45,9,-197.42,3.12,17.93,0.0414,0.0000,0,collision
46,72,-201.73,4.49,241.24,0.0120,0.0275,0,collision
47,6,-203.71,0.35,2.14,0.2138,0.0000,0,collision
48,63,-182.12,10.69,201.09,0.0179,0.0075,0,collision
49,66,-164.43,18.48,68.80,0.0216,0.0081,0,collision
50,45,-187.60,7.39,282.21,0.0163,0.0230,0,collision
51,105,-171.11,10.73,386.54,0.0027,0.0103,0,collision
52,121,-186.38,6.24,420.56,0.0051,0.0000,0,collision
53,19,-201.71,1.15,14.28,0.0889,0.0000,0,collision
54,183,263.96,12.87,436.60,0.0000,0.0000,1,goal
55,120,-183.91,5.81,445.57,0.0026,0.0586,0,collision
56,28,-203.06,1.71,36.43,0.0118,0.0000,0,collision
57,51,-196.00,3.66,89.71,0.0148,0.0000,0,collision
58,66,-195.38,10.66,263.70,0.0069,0.0000,0,collision
59,108,254.03,20.45,188.59,0.0000,0.0177,1,goal
60,72,-163.48,14.51,210.92,0.0101,0.0000,0,collision
61,87,-179.95,7.56,222.68,0.0046,0.0399,0,collision
62,81,-191.73,7.24,90.00,0.0045,0.0175,0,collision
11,74,-177.53,7.75,213.20,0.0208,0.0056,0,collision
12,205,228.00,10.25,624.08,0.0000,0.0052,1,goal
13,162,252.97,12.59,609.73,0.0000,0.0043,1,goal
14,176,-175.22,11.32,499.88,0.0060,0.0170,0,collision
15,80,-197.82,3.32,169.90,0.0189,0.0000,0,collision
16,52,-176.66,12.43,214.71,0.0085,0.0107,0,collision
17,3,-200.20,2.08,9.94,0.0026,0.3565,0,collision
18,93,-216.50,2.40,199.95,0.0091,0.0000,0,collision
19,97,-177.84,12.30,214.11,0.0102,0.0134,0,collision
20,91,-166.20,11.16,266.96,0.0090,0.0057,0,collision
63,73,-201.17,4.90,280.17,0.0033,0.0348,0,collision
64,128,254.36,18.18,77.28,0.0000,0.0000,1,goal
65,18,-193.42,11.37,139.80,0.0519,0.0704,0,collision
66,94,-182.79,9.35,217.75,0.0118,0.0142,0,collision
67,76,-176.21,9.04,325.18,0.0111,0.0201,0,collision
68,92,-221.88,6.58,141.39,0.0054,0.0264,0,collision
69,71,-172.79,11.08,371.71,0.0075,0.0373,0,collision
70,112,-182.16,5.60,335.40,0.0091,0.0357,0,collision
71,5,-198.87,2.92,17.91,0.2419,0.0000,0,collision
72,100,-191.45,7.44,353.57,0.0094,0.0000,0,collision
73,24,-206.04,1.58,14.95,0.0058,0.0000,0,collision
74,5,-201.32,0.77,1.94,0.0338,0.0000,0,collision
75,98,-163.10,13.07,283.70,0.0035,0.0200,0,collision
76,76,-183.96,10.98,147.02,0.0152,0.0166,0,collision
77,98,-166.86,13.28,233.13,0.0100,0.0146,0,collision
78,134,-155.10,10.74,459.23,0.0046,0.0071,0,collision
79,80,-188.99,8.17,217.10,0.0097,0.0000,0,collision
80,12,-199.84,2.79,11.96,0.1482,0.0415,0,collision
81,60,-170.22,17.09,216.94,0.0280,0.0091,0,collision
82,33,-192.36,4.78,101.75,0.0308,0.0000,0,collision
83,156,-237.41,4.62,334.28,0.0020,0.0252,0,collision
84,17,-198.86,4.89,91.03,0.0155,0.0232,0,collision
85,7,-204.61,0.31,1.15,0.2237,0.0000,0,collision
86,7,-201.04,1.30,6.24,0.1434,0.0000,0,collision
87,25,-193.19,4.98,79.73,0.0485,0.0000,0,collision
88,56,-185.08,12.11,158.08,0.0220,0.0000,0,collision
89,14,-203.23,1.40,19.00,0.0029,0.0000,0,collision
90,10,-199.36,1.98,17.02,0.1089,0.0000,0,collision
91,86,-197.31,8.80,279.45,0.0027,0.0903,0,collision
92,33,-194.45,4.35,108.88,0.0151,0.0000,0,collision
93,71,-165.86,17.48,175.21,0.0189,0.0106,0,collision
94,45,-179.86,13.99,237.69,0.0079,0.0106,0,collision
95,10,-196.54,6.35,71.15,0.0221,0.0000,0,collision
96,50,-181.73,16.19,181.62,0.0217,0.0564,0,collision
97,55,-178.56,11.38,275.12,0.0146,0.0113,0,collision
98,35,-189.32,10.46,173.33,0.0470,0.1321,0,collision
99,111,-186.25,5.40,306.44,0.0010,0.0000,0,collision
100,58,-202.63,2.22,84.33,0.0172,0.0000,0,collision
101,11,-196.36,5.42,49.25,0.0153,0.0000,0,collision
102,308,-235.45,4.20,911.52,0.0010,0.0016,0,collision
103,66,-214.74,2.16,82.91,0.0150,0.0000,0,collision
104,5,-201.40,0.67,1.57,0.1614,0.0000,0,collision
105,46,-197.82,3.11,77.18,0.0152,0.0000,0,collision
106,72,-194.08,4.06,172.57,0.0091,0.0000,0,collision
107,95,-209.08,5.61,264.26,0.0098,0.0000,0,collision
108,77,-182.43,6.95,423.76,0.0132,0.0127,0,collision
109,43,-210.58,3.38,179.43,0.0343,0.0000,0,collision
110,4,-200.51,1.44,8.61,0.2805,0.0000,0,collision
