episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,138,-333.83,7.23,534.03,0.0036,0.0000,0,collision
2,107,-313.60,6.42,370.46,0.0115,0.0000,0,collision
3,149,-352.07,6.75,333.67,0.0099,0.0000,0,collision
4,111,-338.42,5.84,324.74,0.0119,0.0117,0,collision
5,171,-354.60,6.21,629.34,0.0055,0.0000,0,collision
6,171,-366.20,8.16,372.64,0.0065,0.0288,0,collision
7,124,-314.59,6.79,575.88,0.0108,0.0000,0,collision
8,176,-382.49,8.67,480.64,0.0076,0.0333,0,collision
9,148,-367.59,6.57,355.15,0.0049,0.0000,0,collision
10,118,-314.96,9.50,451.41,0.0041,0.0000,0,collision
1,142,-336.34,7.08,476.47,0.0030,0.0000,0,collision
2,180,-365.95,6.59,682.19,0.0068,0.0192,0,collision
3,153,-353.56,7.68,385.46,0.0099,0.0077,0,collision
4,175,-393.91,4.75,594.09,0.0095,0.0179,0,collision
5,113,-301.66,6.73,334.21,0.0114,0.0000,0,collision
6,132,-337.41,6.20,713.09,0.0123,0.0000,0,collision
7,124,-323.89,6.52,391.91,0.0055,0.0000,0,collision
8,127,-332.66,5.90,426.49,0.0072,0.0000,0,collision
9,145,-338.86,8.96,180.31,0.0027,0.0000,0,collision
10,108,-315.93,6.70,477.00,0.0093,0.0696,0,collision
11,76,-258.38,13.89,195.43,0.0048,0.0000,0,collision
12,145,-334.01,7.59,464.66,0.0064,0.0371,0,collision
13,135,-334.93,6.85,405.54,0.0076,0.0000,0,collision
14,122,-326.03,6.26,599.80,0.0164,0.0003,0,collision
15,123,-306.13,9.61,408.56,0.0102,0.0072,0,collision
11,126,-325.51,7.10,507.01,0.0066,0.0000,0,collision
12,186,-421.09,6.27,544.23,0.0061,0.1005,0,collision
13,166,-356.40,7.63,510.55,0.0068,0.0856,0,collision
14,151,-357.82,6.48,461.09,0.0092,0.0000,0,collision
15,134,-329.56,6.51,473.74,0.0079,0.0000,0,collision
16,152,-360.83,5.30,616.25,0.0058,0.0000,0,collision
17,141,-337.10,8.04,510.11,0.0028,0.0155,0,collision
18,144,-353.61,6.34,503.79,0.0047,0.0000,0,collision
19,130,-311.43,6.81,483.70,0.0062,0.0000,0,collision
20,199,-404.93,6.20,646.43,0.0101,0.0905,0,collision
16,197,-401.78,6.43,601.37,0.0045,0.0000,0,collision
17,126,-323.20,6.28,370.58,0.0068,0.0000,0,collision
18,140,-339.84,6.70,437.42,0.0069,0.0000,0,collision
19,164,-371.06,6.74,554.51,0.0065,0.0205,0,collision
20,110,-282.17,10.89,424.39,0.0069,0.0000,0,collision
21,106,-329.93,5.86,299.70,0.0050,0.0060,0,collision
22,111,-315.19,6.06,350.51,0.0095,0.0000,0,collision
23,169,-387.42,5.54,499.79,0.0062,0.0000,0,collision
24,169,-367.06,7.55,546.96,0.0056,0.0317,0,collision
25,128,-331.25,6.53,311.76,0.0070,0.0000,0,collision
26,170,-382.51,6.63,561.39,0.0007,0.0504,0,collision
27,136,-327.82,8.24,386.49,0.0035,0.0197,0,collision
28,143,-338.76,6.26,455.86,0.0070,0.0014,0,collision
29,160,-354.16,6.63,476.67,0.0050,0.0000,0,collision
21,186,-396.22,6.40,600.95,0.0058,0.0661,0,collision
22,119,-320.45,6.94,577.22,0.0106,0.0000,0,collision
23,129,-335.57,6.97,361.16,0.0042,0.0000,0,collision
24,149,-336.29,9.89,658.99,0.0043,0.0098,0,collision
25,160,-347.09,7.73,655.41,0.0072,0.0251,0,collision
26,96,-303.57,6.24,317.80,0.0083,0.0098,0,collision
27,159,-358.43,7.74,441.62,0.0064,0.0244,0,collision
28,148,-303.02,14.07,507.71,0.0069,0.0027,0,collision
29,159,-376.89,7.23,333.13,0.0070,0.1119,0,collision
30,123,-307.38,10.45,403.36,0.0047,0.0073,0,collision
30,135,-345.74,8.80,347.26,0.0041,0.0066,0,collision
31,134,-338.85,6.62,398.85,0.0101,0.0000,0,collision
32,187,-402.07,7.43,608.46,0.0075,0.0652,0,collision
33,125,-324.93,10.27,332.00,0.0132,0.0080,0,collision
34,171,-360.02,7.79,514.16,0.0033,0.0213,0,collision
35,164,-350.92,8.78,540.42,0.0057,0.0040,0,collision
36,68,-255.86,14.60,270.42,0.0115,0.0115,0,collision
37,177,-366.48,8.74,517.45,0.0002,0.0215,0,collision
38,163,-369.92,6.90,509.56,0.0047,0.0035,0,collision
39,211,-404.78,7.00,840.15,0.0022,0.0567,0,collision
40,204,-395.91,6.19,725.22,0.0068,0.0807,0,collision
41,146,-344.60,7.86,647.05,0.0072,0.0574,0,collision
42,124,-336.73,8.80,643.99,0.0013,0.0223,0,collision
31,38,-219.97,21.18,186.13,0.0191,0.0000,0,collision
32,184,-397.65,5.98,528.59,0.0043,0.0211,0,collision
33,66,-245.31,14.57,299.62,0.0056,0.0632,0,collision
34,163,-355.06,7.03,840.41,0.0103,0.0315,0,collision
35,151,-350.19,6.95,560.14,0.0105,0.0000,0,collision
36,170,-372.11,6.67,567.43,0.0068,0.0814,0,collision
37,110,-319.52,6.36,369.40,0.0100,0.0000,0,collision
38,121,-283.17,14.21,383.73,0.0135,0.0038,0,collision
39,147,-358.32,6.65,355.84,0.0048,0.0000,0,collision
40,139,-345.48,8.28,522.10,0.0045,0.0272,0,collision
43,180,-363.58,10.41,722.87,0.0058,0.0056,0,collision
44,252,-459.76,6.24,950.73,0.0034,0.1076,0,collision
45,41,-222.50,19.24,155.34,0.0061,0.0139,0,collision
46,165,-340.64,8.71,751.54,0.0055,0.0452,0,collision
47,160,-365.07,6.94,790.63,0.0044,0.0644,0,collision
48,204,-385.76,7.51,1061.43,0.0027,0.0247,0,collision
49,136,-332.03,8.28,556.16,0.0034,0.0185,0,collision
50,136,-319.97,8.27,621.94,0.0034,0.0159,0,collision
51,116,-280.68,13.30,284.44,0.0132,0.0058,0,collision
52,153,-354.61,7.27,718.68,0.0051,0.0017,0,collision
53,215,-431.97,6.93,630.69,0.0062,0.0785,0,collision
54,162,-374.16,6.87,799.74,0.0078,0.0438,0,collision
55,195,-408.75,5.79,778.51,0.0031,0.0594,0,collision
41,131,-333.14,7.12,380.45,0.0089,0.0000,0,collision
42,146,-329.30,11.87,539.57,0.0087,0.0169,0,collision
43,75,-256.61,14.23,324.37,0.0227,0.0104,0,collision
44,164,-359.22,6.93,655.89,0.0037,0.0489,0,collision
45,157,-366.89,6.56,680.53,0.0086,0.0000,0,collision
46,119,-315.77,6.98,450.67,0.0086,0.0000,0,collision
47,176,-378.44,6.87,534.89,0.0052,0.0769,0,collision
48,182,-386.48,6.21,913.95,0.0031,0.0125,0,collision
49,146,-360.44,7.66,503.70,0.0059,0.0314,0,collision
50,119,-319.43,5.20,516.30,0.0088,0.0399,0,collision
56,197,-398.39,6.35,685.16,0.0068,0.0091,0,collision
57,185,-405.86,6.13,441.51,0.0032,0.0789,0,collision
58,169,-394.59,6.61,714.30,0.0023,0.0220,0,collision
59,47,-231.86,17.93,163.21,0.0122,0.0134,0,collision
60,141,-357.34,5.81,680.48,0.0117,0.0000,0,collision
61,119,-302.77,9.49,305.12,0.0008,0.0000,0,collision
62,104,-281.43,11.17,398.26,0.0079,0.0000,0,collision
63,155,-343.63,7.48,807.70,0.0019,0.0181,0,collision
64,109,-297.57,7.14,392.01,0.0144,0.0000,0,collision
65,171,-401.93,6.44,646.46,0.0058,0.1173,0,collision
66,175,-364.36,6.57,666.96,0.0005,0.0634,0,collision
67,116,-321.23,6.27,541.17,0.0044,0.0000,0,collision
68,200,-410.24,5.74,841.50,0.0056,0.0013,0,collision
69,52,-234.17,17.23,176.20,0.0230,0.0054,0,collision
70,141,-343.78,7.08,504.85,0.0037,0.0000,0,collision
51,150,-351.20,7.68,593.22,0.0039,0.0936,0,collision
52,205,-392.23,7.52,819.97,0.0027,0.0927,0,collision
53,148,-338.23,7.39,359.34,0.0051,0.0000,0,collision
54,167,-361.48,7.51,811.38,0.0087,0.0228,0,collision
55,238,-491.27,4.92,760.13,0.0026,0.0538,0,collision
56,134,-319.23,8.30,413.85,0.0046,0.0187,0,collision
57,187,-385.10,5.64,784.01,0.0053,0.0000,0,collision
58,171,-379.39,5.98,580.02,0.0030,0.0000,0,collision
59,183,-407.28,4.92,689.97,0.0060,0.0001,0,collision
60,207,-452.72,5.93,510.44,0.0042,0.1542,0,collision
71,159,-341.87,7.00,806.24,0.0048,0.0018,0,collision
72,197,-388.28,6.31,1004.39,0.0072,0.0835,0,collision
73,210,-429.78,5.98,993.30,0.0011,0.1421,0,collision
74,120,-314.67,10.48,395.40,0.0035,0.0088,0,collision
75,258,-486.40,5.49,838.68,0.0033,0.0508,0,collision
76,188,-431.39,5.94,480.58,0.0016,0.1155,0,collision
77,203,-414.34,5.93,761.19,0.0061,0.0477,0,collision
78,144,-345.29,7.82,431.28,0.0088,0.0183,0,collision
79,108,-301.12,6.97,385.75,0.0103,0.0000,0,collision
80,175,-386.33,6.58,591.35,0.0055,0.0677,0,collision
81,210,-435.95,5.63,392.60,0.0073,0.0890,0,collision
61,131,-323.51,7.10,389.23,0.0093,0.0000,0,collision
62,148,-357.98,7.21,269.11,0.0112,0.0000,0,collision
63,107,-318.61,6.31,265.30,0.0035,0.0000,0,collision
64,112,-277.25,14.32,82.34,0.0083,0.0280,0,collision
65,104,-314.43,6.88,271.00,0.0135,0.0000,0,collision
66,117,-317.09,5.68,418.40,0.0016,0.0000,0,collision
67,150,-339.99,7.21,631.12,0.0080,0.0000,0,collision
68,141,-341.15,6.63,423.25,0.0045,0.0142,0,collision
