episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,route
18,20,-198.98,3.59,50.77,0.0524,0.0000,0,collision,
19,27,-231.87,0.68,12.91,0.0512,0.0000,0,collision,
20,25,-220.31,1.16,18.03,0.0228,0.0000,0,collision,
79,38,-205.06,2.91,76.90,0.0486,0.0000,0,collision,
80,37,-224.47,1.63,41.13,0.0336,0.0000,0,collision,
81,29,-218.13,1.85,27.75,0.0341,0.0000,0,collision,
82,85,-223.87,2.61,121.46,0.0048,0.0000,0,collision,
83,220,-255.86,3.40,520.54,0.0000,0.0026,0,collision,
84,164,-193.79,6.88,493.11,0.0000,0.0186,0,collision,
85,174,-287.19,2.41,267.65,0.0081,0.0239,0,collision,
86,9,-209.09,0.77,7.68,0.0976,0.1312,0,collision,
87,6,-200.00,3.04,33.61,0.0263,0.0000,0,collision,
88,126,-189.08,5.35,403.84,0.0119,0.0213,0,collision,
89,14,-199.32,2.80,26.57,0.0000,0.0000,0,collision,
90,126,-231.27,3.51,317.00,0.0000,0.0000,0,collision,
91,3,-201.71,0.55,1.74,0.0190,0.0000,0,collision,
92,8,-207.41,0.65,3.72,0.0000,0.0000,0,collision,
93,153,-179.47,4.97,443.73,0.0013,0.0000,0,collision,
94,79,-272.18,1.23,55.05,0.0011,0.0000,0,collision,
95,63,-234.90,2.16,106.06,0.0104,0.0000,0,collision,
96,435,-363.91,3.76,933.55,0.0027,0.0165,0,collision,
97,14,-201.97,2.73,36.91,0.0230,0.0083,0,collision,
98,44,-241.01,1.08,29.57,0.0025,0.0180,0,collision,
99,357,-285.47,5.72,591.78,0.0056,0.0097,0,collision,
100,56,-203.01,4.54,158.26,0.0037,0.0000,0,collision,
101,99,-233.38,3.54,224.23,0.0113,0.0000,0,collision,
102,72,-148.87,14.05,242.55,0.0049,0.0000,0,collision,
103,37,-240.08,0.88,22.95,0.0131,0.0258,0,collision,
104,265,-238.62,5.66,561.36,0.0001,0.0079,0,collision,
105,143,-119.76,12.82,501.35,0.0140,0.0123,0,collision,
106,24,-204.81,2.57,45.89,0.0414,0.0000,0,collision,
107,44,-206.57,2.82,82.85,0.0292,0.0000,0,collision,
108,25,-217.12,1.67,21.88,0.0166,0.0000,0,collision,
109,17,-215.75,0.93,13.09,0.0213,0.0000,0,collision,
110,9,-211.29,0.26,2.76,0.1949,0.0000,0,collision,
111,32,-192.04,5.25,110.36,0.0050,0.0000,0,collision,
112,33,-189.02,4.90,91.08,0.0137,0.0805,0,collision,
113,41,-225.27,2.62,94.92,0.0386,0.0000,0,collision,
114,64,-199.13,4.15,172.46,0.0000,0.0174,0,collision,
115,53,-235.82,1.63,51.43,0.0243,0.0000,0,collision,
116,22,-202.83,2.68,34.05,0.0019,0.0000,0,collision,
117,69,-223.83,2.58,132.65,0.0001,0.0000,0,collision,
118,44,-232.24,1.63,49.61,0.0187,0.0267,0,collision,
119,5,-205.91,0.00,0.40,0.2333,0.0000,0,collision,
120,77,-191.60,4.73,236.84,0.0037,0.0000,0,collision,
121,11,-197.66,2.97,21.28,0.1142,0.0000,0,collision,
122,65,-235.11,3.39,188.45,0.0209,0.0000,0,collision,
123,513,171.47,5.61,1400.41,0.0000,0.0143,1,goal,
124,10,-195.85,4.71,48.90,0.0386,0.0000,0,collision,
21,68,-178.75,10.08,177.29,0.0255,0.0432,0,collision,
22,52,-218.09,2.58,89.13,0.0144,0.0000,0,collision,
23,99,-225.42,3.23,217.22,0.0083,0.0000,0,collision,
24,284,-97.59,8.03,911.81,0.0032,0.0000,0,collision,
25,190,291.36,12.13,398.78,0.0000,0.0033,1,goal,
26,41,-177.36,6.43,224.09,0.0109,0.0052,0,collision,
27,190,-289.10,2.57,294.02,0.0061,0.0211,0,collision,
28,46,-203.91,3.73,121.33,0.0158,0.0000,0,collision,
29,5,-205.08,0.17,0.49,0.1325,0.0000,0,collision,
30,9,-195.52,5.29,43.73,0.1037,0.0000,0,collision,
125,106,-197.49,5.05,354.41,0.0043,0.0092,0,collision,
126,213,-250.70,3.49,476.78,0.0029,0.0027,0,collision,
127,35,-213.32,2.45,84.89,0.0341,0.0391,0,collision,
128,120,-209.90,5.78,283.70,0.0018,0.1699,0,collision,
129,6,-204.94,0.57,1.40,0.1813,0.0000,0,collision,
130,92,-220.10,3.08,191.10,0.0122,0.0073,0,collision,
131,82,-233.77,2.23,116.73,0.0081,0.0000,0,collision,
132,6,-204.99,0.19,0.63,0.2615,0.0000,0,collision,
133,266,-117.93,7.14,1125.04,0.0001,0.0250,0,collision,
134,5,-203.70,0.66,3.02,0.0685,0.0000,0,collision,
135,24,-200.71,3.42,67.72,0.0623,0.0000,0,collision,
136,46,-199.07,4.61,152.19,0.0057,0.0182,0,collision,
137,331,-180.17,5.69,789.17,0.0016,0.0067,0,collision,
138,7,-203.09,1.43,8.99,0.0757,0.0000,0,collision,
139,110,-203.53,4.67,241.51,0.0062,0.0000,0,collision,
140,73,-255.63,1.59,86.12,0.0024,0.0000,0,collision,
141,7,-209.78,0.12,0.67,0.0177,0.0000,0,collision,
142,64,-231.11,2.18,101.78,0.0146,0.0109,0,collision,
143,17,-205.41,1.97,23.56,0.0823,0.0000,0,collision,
144,3,-202.08,0.69,2.61,0.6667,0.0000,0,collision,
145,37,-189.44,4.48,109.51,0.0000,0.0000,0,collision,
146,88,-227.62,2.83,179.34,0.0177,0.0000,0,collision,
147,11,-213.00,0.51,4.60,0.1542,0.0478,0,collision,
148,74,-184.73,4.86,298.36,0.0046,0.0133,0,collision,
149,7,-203.83,1.11,1.60,0.0378,0.0000,0,collision,
150,33,-230.72,1.29,23.17,0.0219,0.0000,0,collision,
151,92,-260.11,1.78,110.81,0.0074,0.0000,0,collision,
152,15,-214.61,0.85,4.27,0.0496,0.0000,0,collision,
153,3,-202.06,0.69,2.61,0.6027,0.0000,0,collision,
154,5,-200.89,1.86,6.72,0.1504,0.0000,0,collision,
155,142,-284.86,2.22,217.25,0.0080,0.0000,0,collision,
156,129,-120.58,10.75,484.35,0.0004,0.0162,0,collision,
157,8,-198.44,3.11,25.31,0.1319,0.0000,0,collision,
158,22,-218.27,1.24,19.43,0.0391,0.0000,0,collision,
159,96,-220.38,3.59,267.96,0.0011,0.0000,0,collision,
160,44,-201.16,3.84,130.87,0.0022,0.0000,0,collision,
161,109,303.60,19.73,400.84,0.0000,0.0078,1,goal,
162,22,-213.08,1.90,33.52,0.0237,0.0190,0,collision,
163,144,-145.41,10.49,417.09,0.0117,0.0036,0,collision,
164,205,-191.31,6.75,412.13,0.0034,0.0001,0,collision,
165,31,-220.19,2.18,58.51,0.0057,0.0308,0,collision,
166,5,-205.43,0.30,1.07,0.0414,0.0000,0,collision,
167,4,-201.40,1.60,6.60,0.0611,0.2954,0,collision,
168,61,-211.70,3.41,120.67,0.0246,0.0000,0,collision,
169,29,-180.46,8.56,178.81,0.0142,0.0100,0,collision,
170,53,-212.03,3.37,129.66,0.0092,0.0000,0,collision,
171,21,-210.53,1.76,30.57,0.0296,0.0000,0,collision,
172,74,-150.81,11.23,311.44,0.0132,0.0156,0,collision,
173,66,-163.02,10.18,194.15,0.0064,0.0206,0,collision,
174,30,-199.45,5.94,156.65,0.0113,0.2404,0,collision,
175,115,-245.99,2.53,207.55,0.0042,0.0063,0,collision,
176,121,-136.28,9.73,489.56,0.0013,0.0291,0,collision,
177,4,-205.05,0.05,0.32,0.0167,0.2490,0,collision,
178,27,-191.54,8.37,197.71,0.0164,0.0478,0,collision,
179,132,-235.11,3.14,316.40,0.0117,0.0038,0,collision,
180,7,-207.13,0.50,2.58,0.2137,0.0000,0,collision,
181,37,-182.46,8.84,226.58,0.0351,0.1357,0,collision,
182,220,285.23,11.26,543.87,0.0000,0.0000,1,goal,
183,46,-238.78,1.29,36.61,0.0435,0.0000,0,collision,
184,46,-173.25,7.55,221.78,0.0001,0.0000,0,collision,
185,6,-208.36,0.00,0.50,0.0797,0.0000,0,collision,
186,8,-204.05,1.22,3.72,0.2500,0.0000,0,collision,
187,20,-218.23,1.20,21.50,0.0282,0.0000,0,collision,
188,24,-206.79,2.48,40.89,0.0312,0.0000,0,collision,
189,34,-218.42,1.77,54.72,0.0140,0.0000,0,collision,
190,41,-209.32,2.85,93.20,0.0103,0.1009,0,collision,
191,7,-203.50,1.31,9.69,0.0751,0.0000,0,collision,
31,97,-138.50,8.38,453.77,0.0177,0.0266,0,collision,
32,5,-199.97,1.85,7.50,0.1464,0.0000,0,collision,
33,68,-164.81,10.35,127.76,0.0038,0.0115,0,collision,
34,217,-262.52,6.37,386.20,0.0070,0.0187,0,collision,
35,65,-181.01,10.08,195.79,0.0153,0.0152,0,collision,
36,33,-191.23,9.19,200.93,0.0356,0.0929,0,collision,
37,128,-169.22,7.55,371.66,0.0014,0.0105,0,collision,
38,61,-205.13,3.71,173.60,0.0118,0.0081,0,collision,
39,50,-166.36,11.92,371.45,0.0000,0.0114,0,collision,
40,184,290.12,13.56,179.45,0.0000,0.0161,1,goal,
192,126,-218.52,11.06,423.91,0.0041,0.0159,0,collision,
193,68,-181.93,10.91,329.17,0.0007,0.0135,0,collision,
194,95,-147.95,11.79,430.20,0.0111,0.0158,0,collision,
195,145,-165.64,10.16,457.15,0.0069,0.0000,0,collision,
196,70,-135.12,19.88,142.36,0.0286,0.0082,0,collision,
197,5,-201.26,1.37,5.56,0.0478,0.0000,0,collision,
198,285,263.20,8.35,597.66,0.0000,0.0006,1,goal,
199,67,-189.89,5.17,276.98,0.0097,0.0043,0,collision,
200,7,-199.24,3.39,28.71,0.0572,0.2315,0,collision,
201,8,-201.29,2.25,16.95,0.0910,0.0000,0,collision,
202,83,-157.61,10.19,347.27,0.0095,0.0372,0,collision,
203,122,-140.98,11.47,398.70,0.0093,0.0086,0,collision,
204,106,-197.01,7.27,428.56,0.0135,0.0054,0,collision,
205,14,-204.29,2.03,23.73,0.0815,0.0000,0,collision,
206,7,-201.90,2.26,15.18,0.2275,0.0987,0,collision,
207,90,-158.70,10.61,242.76,0.0000,0.0187,0,collision,
208,59,-254.69,1.63,65.04,0.0039,0.0444,0,collision,
209,34,-202.64,2.77,60.18,0.0008,0.0392,0,collision,
210,32,-187.95,6.98,225.13,0.0344,0.0591,0,collision,
211,43,-183.39,12.58,262.36,0.0131,0.0601,0,collision,
212,92,-128.54,18.46,151.79,0.0008,0.0116,0,collision,
213,71,-138.76,18.34,254.59,0.0162,0.0000,0,collision,
214,46,-174.19,7.62,270.38,0.0000,0.0000,0,collision,
215,34,-227.72,1.66,44.30,0.0413,0.0000,0,collision,
216,57,-185.67,5.21,221.17,0.0000,0.0000,0,collision,
217,39,-224.81,1.61,39.21,0.0000,0.0000,0,collision,
218,84,-134.06,15.97,183.33,0.0173,0.0000,0,collision,
219,15,-206.75,1.63,14.06,0.0382,0.0000,0,collision,
220,63,-168.94,10.13,349.00,0.0000,0.0941,0,collision,
221,5,-199.84,2.12,13.30,0.1331,0.0000,0,collision,
222,90,-226.31,2.79,172.19,0.0086,0.0288,0,collision,
223,62,-186.86,6.42,215.71,0.0000,0.0426,0,collision,
224,43,-174.44,9.16,227.11,0.0248,0.0000,0,collision,
225,7,-199.54,2.35,13.49,0.0736,0.0000,0,collision,
226,70,-147.63,16.05,176.57,0.0016,0.0000,0,collision,
227,82,-134.05,16.70,220.24,0.0131,0.0000,0,collision,
228,15,-211.66,1.30,12.85,0.0418,0.1186,0,collision,
229,46,-187.66,14.47,66.05,0.0055,0.0155,0,collision,
230,87,-128.39,15.59,293.05,0.0000,0.0211,0,collision,
231,34,-194.01,6.04,153.39,0.0388,0.0000,0,collision,
232,39,-175.60,16.89,105.90,0.0279,0.0029,0,collision,
233,146,-133.99,12.38,458.79,0.0001,0.0214,0,collision,
234,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision,
235,65,-151.88,14.52,166.88,0.0000,0.0122,0,collision,
236,17,-219.05,0.72,8.58,0.0672,0.0067,0,collision,
237,97,-155.60,10.93,377.14,0.0171,0.0051,0,collision,
238,66,-168.79,10.94,235.47,0.0080,0.0195,0,collision,
239,16,-199.28,2.85,26.13,0.0996,0.0000,0,collision,
240,51,-166.57,12.99,131.83,0.0138,0.0142,0,collision,
241,127,-118.19,15.05,196.86,0.0019,0.0099,0,collision,
242,141,-101.24,20.21,230.90,0.0016,0.0178,0,collision,
243,128,293.30,21.76,271.53,0.0000,0.0000,1,goal,
244,7,-210.03,0.01,0.60,0.1691,0.0000,0,collision,
245,21,-218.70,1.15,15.02,0.0930,0.0000,0,collision,
246,43,-170.72,15.16,185.30,0.0384,0.0163,0,collision,
247,116,-144.24,10.21,368.93,0.0031,0.0259,0,collision,
248,47,-170.70,14.27,300.74,0.0055,0.0209,0,collision,
249,153,-146.20,9.52,261.13,0.0025,0.0410,0,collision,
250,142,-198.75,3.63,359.10,0.0022,0.0000,0,collision,
251,78,-149.09,11.20,490.23,0.0091,0.0000,0,collision,
252,85,-189.77,8.98,274.26,0.0184,0.0461,0,collision,
253,13,-195.58,4.28,37.49,0.0669,0.0297,0,collision,
41,71,-151.76,16.73,158.19,0.0008,0.0088,0,collision,
42,39,-194.92,9.96,174.20,0.0206,0.0454,0,collision,
43,5,-202.44,1.16,5.26,0.0151,0.0000,0,collision,
44,13,-198.72,3.73,33.41,0.0582,0.0000,0,collision,
45,141,297.46,16.34,355.01,0.0000,0.0000,1,goal,
46,51,-152.61,22.29,147.17,0.0179,0.0392,0,collision,
47,51,-143.10,30.40,251.97,0.0030,0.0103,0,collision,
48,26,-189.23,4.95,92.21,0.0505,0.0000,0,collision,
49,116,-117.78,15.98,385.26,0.0118,0.0106,0,collision,
50,5,-204.37,0.00,0.40,0.2229,0.0000,0,collision,
254,85,-227.48,9.71,240.27,0.0000,0.0097,0,collision,
255,74,-146.42,18.70,217.15,0.0253,0.0076,0,collision,
256,2,-200.32,1.04,2.51,0.0416,0.0000,0,collision,
257,51,-172.46,11.02,139.89,0.0184,0.0109,0,collision,
258,56,-150.22,22.55,54.85,0.0190,0.0127,0,collision,
259,8,-197.54,4.75,65.09,0.1984,0.0000,0,collision,
260,76,-132.11,19.78,151.89,0.0116,0.0110,0,collision,
261,2,-201.66,0.00,0.10,0.5579,0.0000,0,collision,
262,95,-134.69,13.55,267.69,0.0105,0.0193,0,collision,
263,62,-144.39,20.87,99.13,0.0323,0.0033,0,collision,
264,7,-207.85,0.34,0.90,0.0000,0.0000,0,collision,
265,42,-177.07,15.05,168.75,0.0000,0.0253,0,collision,
266,71,-166.17,9.73,284.89,0.0059,0.0132,0,collision,
267,46,-169.92,13.89,193.36,0.0175,0.0574,0,collision,
268,67,-148.32,22.83,157.02,0.0269,0.0084,0,collision,
269,35,-180.64,13.90,21.00,0.0066,0.0476,0,collision,
270,12,-213.08,0.67,5.69,0.0744,0.0000,0,collision,
271,167,-118.22,12.41,477.18,0.0104,0.0017,0,collision,
272,20,-198.65,3.93,69.64,0.0222,0.0515,0,collision,
273,52,-156.38,17.73,143.51,0.0286,0.0000,0,collision,
274,150,303.68,15.79,266.90,0.0000,0.0000,1,goal,
275,85,-144.26,19.02,178.40,0.0000,0.0275,0,collision,
276,103,-141.94,7.98,559.71,0.0035,0.0215,0,collision,
277,76,-156.80,16.25,257.65,0.0040,0.0003,0,collision,
278,64,-148.24,15.89,266.57,0.0136,0.0003,0,collision,
279,120,-106.89,17.38,270.06,0.0032,0.0095,0,collision,
280,98,-129.94,13.82,247.64,0.0068,0.0292,0,collision,
281,6,-206.37,0.44,2.94,0.0867,0.0000,0,collision,
282,136,-132.00,9.82,709.01,0.0066,0.0187,0,collision,
283,45,-160.19,20.58,199.61,0.0057,0.0279,0,collision,
284,44,-188.45,6.51,186.90,0.0095,0.0349,0,collision,
285,69,-154.72,17.29,88.34,0.0135,0.0148,0,collision,
286,34,-190.03,9.61,137.22,0.0000,0.0456,0,collision,
287,61,-146.65,22.06,147.99,0.0000,0.0107,0,collision,
288,12,-198.29,4.90,76.15,0.0474,0.0000,0,collision,
289,47,-185.12,7.24,198.44,0.0166,0.0000,0,collision,
290,95,-129.65,17.92,393.37,0.0128,0.0080,0,collision,
291,124,-116.33,19.09,450.47,0.0077,0.0369,0,collision,
292,140,-106.05,15.53,458.49,0.0032,0.0177,0,collision,
293,24,-183.86,14.13,83.29,0.0646,0.0000,0,collision,
294,57,-146.09,23.01,95.82,0.0351,0.0066,0,collision,
295,94,297.43,26.51,88.27,0.0000,0.0000,1,goal,
296,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision,
297,29,-180.65,12.07,212.52,0.0387,0.0015,0,collision,
298,5,-203.37,1.13,4.90,0.2262,0.0000,0,collision,
299,12,-194.44,5.28,67.50,0.0771,0.0000,0,collision,
300,20,-197.38,3.89,61.90,0.0126,0.0532,0,collision,
301,38,-174.34,13.50,278.96,0.0007,0.0213,0,collision,
302,42,-169.09,15.54,137.11,0.0145,0.0082,0,collision,
303,173,278.32,16.31,231.55,0.0000,0.0101,1,goal,
304,26,-203.59,3.07,67.60,0.0146,0.0000,0,collision,
305,39,-168.96,16.50,96.80,0.0283,0.0284,0,collision,
306,29,-177.20,16.11,208.92,0.0081,0.0000,0,collision,
307,46,-165.01,18.09,148.48,0.0000,0.0177,0,collision,
308,20,-201.87,3.99,73.78,0.0876,0.0000,0,collision,
309,48,-174.70,12.06,126.38,0.0220,0.0276,0,collision,
310,54,-192.92,8.82,148.56,0.0000,0.0183,0,collision,
311,28,-194.51,6.23,168.26,0.0508,0.0601,0,collision,
312,101,-121.84,20.56,290.58,0.0003,0.0124,0,collision,
313,37,-171.56,16.36,82.81,0.0353,0.0168,0,collision,
314,52,-153.37,22.87,138.73,0.0111,0.0098,0,collision,
315,50,-160.69,24.23,177.47,0.0033,0.0140,0,collision,
316,92,-129.47,17.06,-29.12,0.0202,0.0213,0,collision,
317,14,-197.64,4.95,83.65,0.1267,0.0000,0,collision,
318,60,-147.00,22.00,143.18,0.0031,0.0303,0,collision,
319,6,-199.47,2.92,17.80,0.0197,0.0000,0,collision,
320,196,-270.57,8.29,227.36,0.0052,0.0235,0,collision,
321,80,-112.39,28.46,134.10,0.0130,0.0000,0,collision,
322,6,-202.06,1.27,11.66,0.0000,0.0000,0,collision,
