episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,168,-214.48,6.84,161.70,0.0079,0.0391,0,collision
2,114,-179.33,10.53,86.49,0.0109,0.0117,0,collision
3,162,-189.62,7.57,153.18,0.0048,0.0103,0,collision
4,138,-222.25,8.22,-8.03,0.0148,0.0046,0,collision
5,141,-171.46,10.68,275.25,0.0109,0.0098,0,collision
6,140,-193.20,8.76,202.30,0.0092,0.0289,0,collision
7,127,-198.28,9.06,128.94,0.0103,0.0304,0,collision
8,67,-191.84,14.59,5.58,0.0078,0.0084,0,collision
9,110,-180.09,13.95,1.03,0.0151,0.0077,0,collision
10,124,-175.57,12.13,246.15,0.0228,0.0056,0,collision
1,130,-203.70,9.32,194.34,0.0160,0.0315,0,collision
2,148,-201.00,8.60,190.33,0.0094,0.0372,0,collision
3,63,-209.32,9.67,7.41,0.0146,0.0000,0,collision
4,137,-213.28,8.17,114.17,0.0171,0.0012,0,collision
5,81,-184.74,13.43,54.99,0.0080,0.0111,0,collision
6,171,-210.21,6.37,364.57,0.0074,0.0373,0,collision
7,126,-184.40,9.06,168.91,0.0032,0.0159,0,collision
8,145,-185.57,10.36,67.66,0.0083,0.0000,0,collision
9,142,-204.33,7.97,174.12,0.0146,0.0466,0,collision
10,151,-195.97,7.80,203.58,0.0029,0.0441,0,collision
11,159,-191.21,8.67,126.09,0.0045,0.0002,0,collision
12,125,-201.15,9.03,92.50,0.0166,0.0007,0,collision
13,108,-176.28,11.08,15.05,0.0074,0.0000,0,collision
14,109,-214.85,5.87,44.33,0.0057,0.0126,0,collision
15,126,-216.42,5.84,179.16,0.0189,0.0040,0,collision
16,126,-187.76,10.40,371.47,0.0082,0.0193,0,collision
11,156,-216.05,6.78,267.14,0.0060,0.0021,0,collision
12,75,-186.03,13.39,100.05,0.0401,0.0070,0,collision
13,176,-223.25,6.43,102.32,0.0062,0.0643,0,collision
14,160,-194.63,6.51,127.20,0.0107,0.0000,0,collision
15,236,-171.37,8.86,385.32,0.0062,0.0017,0,collision
16,176,-204.18,7.08,74.55,0.0153,0.0454,0,collision
17,163,-224.81,6.80,107.12,0.0082,0.0897,0,collision
18,58,-181.29,16.18,96.77,0.0264,0.0000,0,collision
19,140,-168.70,8.25,335.45,0.0065,0.0180,0,collision
20,119,-181.25,12.60,53.60,0.0068,0.0039,0,collision
17,180,-215.50,6.91,170.57,0.0022,0.0481,0,collision
18,145,-175.07,10.39,31.86,0.0055,0.0060,0,collision
19,148,-214.38,7.44,95.84,0.0050,0.0240,0,collision
20,52,-189.93,16.96,95.21,0.0251,0.0211,0,collision
21,101,-201.99,6.96,100.54,0.0132,0.0000,0,collision
