episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,65,-246.46,1.65,74.48,0.0237,0.0000,0,collision
2,5,-203.34,0.94,4.09,0.2862,0.0000,0,collision
3,34,-232.82,0.97,15.38,0.0039,0.0088,0,collision
4,8,-210.55,0.26,2.34,0.0620,0.0000,0,collision
5,24,-224.20,1.16,21.98,0.0301,0.0719,0,collision
6,26,-227.49,0.80,13.36,0.0171,0.0980,0,collision
7,95,-263.79,1.68,87.43,0.0050,0.0000,0,collision
8,31,-206.12,2.39,40.10,0.0377,0.0334,0,collision
9,28,-231.67,0.76,14.67,0.0131,0.2486,0,collision
10,62,-245.11,1.44,55.69,0.0096,0.0249,0,collision
1,8,-208.49,0.79,3.75,0.1725,0.0000,0,collision
2,24,-222.03,0.99,17.12,0.0333,0.0432,0,collision
3,31,-228.43,0.82,13.99,0.0241,0.0181,0,collision
4,4,-204.51,0.26,0.54,0.1135,0.2827,0,collision
5,13,-217.01,0.31,2.10,0.0493,0.1877,0,collision
6,30,-220.98,1.56,27.48,0.0383,0.0000,0,collision
7,5,-205.94,0.42,2.04,0.0864,0.1261,0,collision
8,8,-199.78,2.56,28.44,0.1004,0.0000,0,collision
9,55,-216.47,2.38,84.49,0.0154,0.0157,0,collision
10,7,-206.30,0.63,1.50,0.1173,0.0000,0,collision
11,9,-211.37,0.33,2.55,0.0590,0.0000,0,collision
12,49,-235.38,1.23,45.52,0.0207,0.0000,0,collision
13,71,-242.47,2.41,119.64,0.0083,0.0000,0,collision
14,15,-213.80,0.96,11.75,0.0306,0.0000,0,collision
15,3,-203.57,0.13,0.22,0.0956,0.1235,0,collision
16,50,-251.92,0.92,32.49,0.0155,0.0397,0,collision
17,65,-227.87,2.34,94.40,0.0178,0.0277,0,collision
18,30,-208.76,2.56,47.16,0.0304,0.0514,0,collision
19,18,-212.80,1.12,17.02,0.0752,0.0844,0,collision
20,78,-298.38,0.61,28.47,0.0121,0.0101,0,collision
21,24,-226.84,0.65,9.26,0.0236,0.0000,0,collision
22,50,-221.25,2.20,82.72,0.0029,0.0000,0,collision
23,20,-213.71,1.70,29.30,0.0315,0.0000,0,collision
24,27,-223.15,1.22,20.41,0.0141,0.0000,0,collision
25,24,-227.81,0.60,11.56,0.0308,0.0557,0,collision
26,52,-226.51,2.30,78.02,0.0114,0.0000,0,collision
27,72,-215.04,3.11,157.59,0.0175,0.0128,0,collision
28,6,-203.06,1.22,8.13,0.2573,0.0000,0,collision
29,48,-230.32,1.70,49.58,0.0249,0.0634,0,collision
30,33,-215.94,1.92,40.21,0.0232,0.0000,0,collision
31,10,-214.34,0.07,0.95,0.0593,0.0000,0,collision
32,16,-211.18,1.42,15.92,0.0723,0.0000,0,collision
33,8,-206.52,1.06,8.40,0.1300,0.1177,0,collision
34,42,-190.00,6.46,153.50,0.0195,0.0000,0,collision
35,13,-213.01,0.78,9.08,0.0143,0.0094,0,collision
36,12,-205.42,1.73,14.73,0.1509,0.0577,0,collision
37,100,-241.60,2.35,163.73,0.0097,0.0091,0,collision
38,23,-224.74,0.64,13.86,0.0128,0.0000,0,collision
39,60,-244.23,2.04,83.42,0.0047,0.0340,0,collision
40,55,-259.47,0.92,27.32,0.0067,0.0029,0,collision
41,19,-224.39,0.83,5.24,0.0771,0.3219,0,collision
42,19,-221.58,0.59,6.55,0.0544,0.0355,0,collision
43,13,-195.47,6.96,87.98,0.0841,0.1189,0,collision
44,3,-201.14,1.00,1.48,0.0667,0.0000,0,collision
45,8,-199.12,4.97,71.69,0.0726,0.3414,0,collision
46,70,-246.96,1.54,63.11,0.0017,0.0021,0,collision
47,48,-237.74,1.62,42.95,0.0106,0.0001,0,collision
48,7,-207.55,0.30,2.24,0.2111,0.0000,0,collision
49,12,-206.82,1.44,10.85,0.1000,0.0000,0,collision
50,34,-223.44,1.60,43.39,0.0324,0.0000,0,collision
51,7,-202.99,1.72,8.99,0.1178,0.0000,0,collision
52,74,-254.79,1.43,67.68,0.0011,0.0015,0,collision
53,85,-287.43,1.17,76.05,0.0101,0.0180,0,collision
54,5,-204.92,0.00,0.40,0.0850,0.0000,0,collision
55,20,-217.89,1.24,19.31,0.0766,0.0000,0,collision
56,29,-197.50,4.90,97.14,0.0181,0.0000,0,collision
57,19,-218.49,1.03,14.68,0.0579,0.0000,0,collision
58,4,-204.25,0.07,0.31,0.1836,0.0000,0,collision
59,20,-220.37,0.74,8.71,0.0116,0.0000,0,collision
60,46,-237.30,1.44,42.55,0.0142,0.0332,0,collision
61,7,-199.51,2.50,10.04,0.1027,0.0000,0,collision
62,80,-228.21,2.28,102.34,0.0144,0.0000,0,collision
63,32,-233.58,0.91,17.77,0.0146,0.0000,0,collision
64,96,-253.44,2.15,112.17,0.0087,0.0037,0,collision
65,40,-210.70,2.80,82.96,0.0093,0.0000,0,collision
66,41,-229.47,1.67,40.81,0.0218,0.0156,0,collision
67,74,-213.80,2.58,108.02,0.0059,0.0119,0,collision
68,57,-168.70,10.93,249.43,0.0085,0.0129,0,collision
69,20,-210.42,1.61,14.83,0.0033,0.0360,0,collision
70,74,-219.13,2.76,133.13,0.0098,0.0000,0,collision
71,62,-155.51,15.69,209.39,0.0168,0.0285,0,collision
72,11,-201.34,3.21,44.49,0.0502,0.0000,0,collision
73,6,-203.66,1.15,6.43,0.2144,0.0026,0,collision
74,4,-203.55,0.16,0.33,0.1981,0.0000,0,collision
75,13,-207.13,1.65,12.00,0.0549,0.0000,0,collision
76,12,-197.46,3.36,20.32,0.1016,0.0456,0,collision
77,109,-149.78,12.24,276.86,0.0123,0.0096,0,collision
78,4,-201.55,1.19,1.48,0.2632,0.0000,0,collision
79,33,-203.92,4.25,124.29,0.0359,0.0113,0,collision
80,22,-207.49,2.42,45.16,0.0759,0.0000,0,collision
81,6,-205.73,0.76,0.90,0.1557,0.1766,0,collision
82,79,-187.43,4.41,206.99,0.0130,0.0046,0,collision
83,47,-168.78,7.98,222.64,0.0159,0.0000,0,collision
84,54,-165.82,8.87,301.65,0.0163,0.0182,0,collision
85,58,-167.48,10.29,272.52,0.0212,0.0195,0,collision
86,79,-257.10,1.68,101.80,0.0201,0.0135,0,collision
87,71,-189.33,7.85,230.54,0.0000,0.0359,0,collision
88,2,-200.39,0.92,1.98,0.7827,0.0000,0,collision
89,57,-176.58,6.36,287.13,0.0262,0.0578,0,collision
90,44,-233.24,1.22,31.84,0.0023,0.0000,0,collision
91,22,-205.31,2.67,51.04,0.0110,0.0349,0,collision
92,8,-198.81,2.68,17.39,0.0767,0.0000,0,collision
93,8,-198.87,3.02,31.63,0.2011,0.0000,0,collision
94,10,-206.46,1.20,9.82,0.1515,0.0000,0,collision
95,103,-130.69,14.63,233.81,0.0079,0.0117,0,collision
96,47,-190.25,11.48,128.04,0.0184,0.0329,0,collision
97,25,-211.28,1.82,28.30,0.0270,0.0000,0,collision
98,17,-208.13,1.71,19.46,0.0463,0.0106,0,collision
99,24,-200.57,3.45,47.49,0.0290,0.0000,0,collision
100,17,-211.15,1.52,16.67,0.0948,0.0558,0,collision
101,71,-179.85,4.90,251.34,0.0049,0.0006,0,collision
102,6,-204.17,0.96,5.46,0.0983,0.0000,0,collision
103,114,-221.85,5.44,238.90,0.0112,0.0142,0,collision
104,13,-201.58,2.41,18.68,0.0488,0.0000,0,collision
105,42,-187.42,6.64,248.74,0.0256,0.0000,0,collision
106,4,-202.93,0.61,1.63,0.0949,0.0000,0,collision
107,11,-208.60,1.18,7.50,0.0719,0.0857,0,collision
108,134,-212.23,7.65,333.36,0.0003,0.0007,0,collision
109,65,-176.08,9.73,214.34,0.0229,0.0000,0,collision
110,9,-206.47,1.19,8.68,0.1910,0.0000,0,collision
111,4,-205.60,0.52,1.94,0.1934,0.5985,0,collision
112,76,-190.28,7.41,348.09,0.0175,0.0299,0,collision
113,2,-200.86,0.00,0.10,0.0552,0.0000,0,collision
114,2,-200.32,1.04,2.51,0.7623,0.0000,0,collision
115,18,-194.14,3.72,27.98,0.0713,0.0000,0,collision
116,8,-201.20,2.20,11.92,0.1908,0.0000,0,collision
117,6,-205.70,1.17,7.23,0.0374,0.5409,0,collision
118,5,-200.72,1.96,7.88,0.1544,0.0000,0,collision
119,10,-207.56,0.97,6.22,0.0586,0.0000,0,collision
120,12,-211.32,0.44,4.14,0.0676,0.0000,0,collision
121,55,-195.93,4.47,193.29,0.0192,0.0180,0,collision
122,24,-194.52,6.20,147.78,0.0257,0.2333,0,collision
11,89,-132.60,12.92,387.07,0.0002,0.0064,0,collision
12,60,-146.00,24.93,59.67,0.0017,0.0138,0,collision
13,22,-186.15,6.46,153.91,0.0110,0.0000,0,collision
14,58,-158.81,14.70,219.77,0.0155,0.0155,0,collision
15,2,-201.16,0.00,0.10,0.8525,0.0000,0,collision
16,9,-199.68,3.09,28.23,0.0496,0.0797,0,collision
17,10,-203.75,1.97,16.28,0.0289,0.1588,0,collision
18,11,-203.51,1.99,20.78,0.0137,0.0000,0,collision
19,47,-187.13,12.90,120.45,0.0174,0.0207,0,collision
20,3,-204.34,0.00,0.20,0.1974,0.4249,0,collision
