episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,65,-178.71,6.88,302.86,0.0262,0.0459,0,collision
2,2,-201.16,0.00,0.10,0.4611,0.0000,0,collision
3,4,-203.25,0.00,0.30,0.1073,0.0000,0,collision
4,18,-200.38,2.80,30.39,0.0718,0.0000,0,collision
5,35,-196.52,4.24,117.42,0.0092,0.0397,0,collision
6,51,-202.69,2.86,77.99,0.0106,0.0221,0,collision
7,13,-203.46,2.28,26.52,0.1347,0.0000,0,collision
8,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
9,36,-222.54,1.56,32.24,0.0268,0.0383,0,collision
10,65,-170.60,5.76,212.85,0.0052,0.0000,0,collision
1,77,-219.22,10.98,212.56,0.0168,0.0217,0,collision
2,16,-209.89,1.47,11.01,0.1014,0.0151,0,collision
3,41,-247.44,0.69,20.49,0.0139,0.0000,0,collision
4,12,-215.95,0.33,2.19,0.0918,0.0536,0,collision
5,105,-239.98,3.89,247.98,0.0121,0.0096,0,collision
6,51,-216.70,4.83,169.63,0.0392,0.2714,0,collision
7,9,-195.39,5.31,51.49,0.0941,0.0000,0,collision
8,8,-200.77,2.51,33.92,0.2500,0.0000,0,collision
9,50,-182.99,10.54,129.86,0.0055,0.0641,0,collision
10,52,-202.34,5.32,147.16,0.0015,0.0615,0,collision
11,8,-208.48,0.73,3.70,0.2500,0.0175,0,collision
12,109,-215.22,6.18,306.03,0.0004,0.0043,0,collision
13,20,-210.91,1.76,30.10,0.1000,0.0619,0,collision
14,37,-211.26,2.49,40.55,0.0094,0.0000,0,collision
15,56,-213.55,3.60,126.36,0.0110,0.0556,0,collision
16,38,-188.44,7.40,196.40,0.0000,0.0493,0,collision
17,33,-210.91,2.47,59.18,0.0103,0.0020,0,collision
18,8,-209.03,0.44,1.53,0.0629,0.0871,0,collision
19,11,-201.78,2.36,16.48,0.0446,0.0652,0,collision
20,3,-201.28,0.90,1.61,0.2006,0.0000,0,collision
21,27,-202.32,3.02,43.19,0.0741,0.0135,0,collision
22,5,-204.47,0.61,1.32,0.0946,0.0000,0,collision
23,61,-235.59,2.02,80.97,0.0051,0.0035,0,collision
24,4,-201.22,1.39,2.17,0.0425,0.0000,0,collision
25,66,-170.47,10.07,321.44,0.0303,0.0126,0,collision
26,85,-229.39,2.35,131.58,0.0084,0.0123,0,collision
27,17,-208.58,1.67,10.07,0.0369,0.0000,0,collision
28,58,-206.65,3.11,136.27,0.0087,0.0007,0,collision
29,83,-191.13,6.23,222.00,0.0024,0.0108,0,collision
30,27,-216.03,1.85,38.26,0.0212,0.0000,0,collision
31,110,-160.05,6.48,430.88,0.0072,0.0187,0,collision
32,83,-240.18,2.36,123.05,0.0050,0.0000,0,collision
33,20,-194.87,5.76,68.37,0.0364,0.0177,0,collision
34,6,-202.86,1.16,7.16,0.2144,0.0000,0,collision
35,15,-206.31,1.75,20.04,0.0539,0.0000,0,collision
36,5,-204.56,0.46,2.71,0.3952,0.0000,0,collision
37,164,-221.61,3.67,338.45,0.0060,0.0101,0,collision
38,25,-200.88,2.98,48.48,0.0394,0.0000,0,collision
39,21,-200.74,2.93,45.63,0.0142,0.0338,0,collision
40,8,-207.52,0.12,0.74,0.1302,0.0000,0,collision
41,37,-204.75,3.86,101.70,0.0365,0.0000,0,collision
42,45,-198.55,3.28,95.62,0.0111,0.0129,0,collision
43,13,-212.18,0.90,6.85,0.1420,0.0575,0,collision
44,8,-201.60,1.88,10.47,0.1084,0.0000,0,collision
45,24,-221.08,1.08,20.88,0.0215,0.0000,0,collision
46,12,-212.26,0.66,3.35,0.0322,0.0000,0,collision
47,92,-177.30,11.01,206.32,0.0030,0.0121,0,collision
48,6,-206.71,0.19,0.81,0.1278,0.0000,0,collision
49,61,-175.36,8.89,233.79,0.0191,0.0295,0,collision
50,23,-206.17,2.41,57.19,0.0000,0.0003,0,collision
51,19,-201.76,3.54,93.09,0.0741,0.0000,0,collision
52,79,-258.29,1.51,79.46,0.0154,0.0114,0,collision
53,5,-205.82,0.20,0.97,0.0122,0.0000,0,collision
54,6,-204.66,0.85,2.37,0.2103,0.1615,0,collision
55,9,-211.30,0.21,1.12,0.0374,0.0237,0,collision
56,187,-230.43,4.15,504.90,0.0011,0.0284,0,collision
57,10,-208.32,1.05,6.93,0.0301,0.0000,0,collision
58,200,-150.98,6.29,675.49,0.0000,0.0000,0,collision
59,8,-199.22,3.27,23.96,0.1326,0.0253,0,collision
60,5,-200.64,2.10,8.51,0.0286,0.1877,0,collision
61,121,-186.60,5.06,398.43,0.0137,0.0021,0,collision
62,2,-201.66,0.00,0.10,0.3500,0.0000,0,collision
63,39,-210.64,2.64,58.11,0.0208,0.0318,0,collision
64,33,-207.50,2.27,40.38,0.0030,0.0000,0,collision
65,4,-204.21,0.00,0.30,0.0000,0.0000,0,collision
66,9,-198.96,2.72,25.54,0.0356,0.0464,0,collision
67,35,-208.91,2.34,43.29,0.0085,0.0000,0,collision
68,21,-201.01,3.48,51.78,0.0348,0.0000,0,collision
69,35,-172.94,18.07,179.15,0.0145,0.0166,0,collision
70,3,-203.32,0.00,0.20,0.5231,0.0000,0,collision
71,96,-235.25,2.62,166.01,0.0205,0.0150,0,collision
72,8,-206.50,0.85,6.82,0.1597,0.0000,0,collision
73,80,-184.28,4.17,211.33,0.0126,0.0000,0,collision
74,9,-209.15,0.36,1.74,0.0421,0.0000,0,collision
75,36,-190.64,7.69,169.02,0.0117,0.0916,0,collision
76,57,-166.33,11.04,109.26,0.0087,0.0378,0,collision
77,124,-152.06,8.32,441.64,0.0046,0.0079,0,collision
78,63,-190.70,5.94,274.43,0.0125,0.0117,0,collision
79,35,-224.25,1.64,41.95,0.0102,0.0186,0,collision
80,61,-173.44,10.25,227.21,0.0179,0.0150,0,collision
81,22,-205.53,2.44,33.06,0.0443,0.0000,0,collision
82,26,-197.52,4.71,86.33,0.0028,0.0263,0,collision
83,7,-200.42,2.94,35.17,0.2198,0.0000,0,collision
84,3,-202.56,0.05,0.21,0.1733,0.0000,0,collision
85,14,-208.84,1.48,16.08,0.1429,0.0000,0,collision
86,62,-198.85,3.83,150.09,0.0037,0.0000,0,collision
87,28,-225.07,1.19,21.24,0.0000,0.0000,0,collision
88,6,-205.55,0.54,3.36,0.2099,0.1844,0,collision
89,8,-208.24,0.64,2.62,0.0016,0.0000,0,collision
90,26,-216.77,2.21,45.51,0.0284,0.0593,0,collision
91,15,-198.52,4.31,72.34,0.0225,0.0000,0,collision
92,25,-187.06,10.05,137.73,0.0800,0.0179,0,collision
93,3,-202.52,0.00,0.20,0.1756,0.0000,0,collision
94,38,-212.08,2.33,66.96,0.0281,0.0000,0,collision
95,93,-207.62,6.97,283.72,0.0003,0.0138,0,collision
96,7,-205.05,0.99,3.26,0.1892,0.0000,0,collision
97,22,-197.51,3.72,91.67,0.0503,0.0000,0,collision
98,13,-217.47,0.51,5.40,0.0680,0.1600,0,collision
99,28,-200.99,3.75,70.86,0.0113,0.0731,0,collision
100,6,-206.85,0.42,2.40,0.0893,0.0367,0,collision
101,52,-201.51,4.45,131.53,0.0049,0.0080,0,collision
102,8,-205.06,1.22,9.09,0.0419,0.0000,0,collision
103,6,-205.14,0.71,3.50,0.0278,0.0000,0,collision
104,10,-214.70,0.09,0.94,0.0938,0.0000,0,collision
105,7,-199.94,2.47,14.18,0.2485,0.0000,0,collision
106,26,-195.92,6.96,136.85,0.0431,0.0728,0,collision
107,172,-127.96,7.76,707.15,0.0023,0.0083,0,collision
108,7,-202.24,1.59,5.72,0.1901,0.0000,0,collision
11,147,-183.46,6.59,582.73,0.0096,0.0139,0,collision
12,9,-197.98,4.38,41.69,0.0495,0.0000,0,collision
13,15,-201.96,2.84,44.07,0.0537,0.0000,0,collision
14,8,-201.45,2.18,12.52,0.2500,0.0000,0,collision
15,118,-187.40,7.93,372.45,0.0051,0.0381,0,collision
16,28,-207.65,2.50,41.89,0.0338,0.0000,0,collision
17,20,-210.45,1.82,18.68,0.0081,0.0000,0,collision
18,40,-187.46,7.33,210.96,0.0189,0.0000,0,collision
19,14,-212.14,1.22,14.50,0.0161,0.0940,0,collision
20,20,-192.93,6.32,71.44,0.0469,0.0000,0,collision
109,53,-241.98,2.73,110.87,0.0000,0.0715,0,collision
110,90,-181.72,6.50,317.50,0.0078,0.0000,0,collision
111,47,-179.33,7.75,225.56,0.0295,0.0399,0,collision
112,65,-229.79,2.85,101.16,0.0308,0.0308,0,collision
113,85,-239.42,2.08,105.23,0.0226,0.0074,0,collision
114,6,-204.97,0.76,3.43,0.0987,0.0000,0,collision
115,35,-181.20,7.83,161.85,0.0337,0.0000,0,collision
116,58,-190.53,9.38,129.88,0.0326,0.0314,0,collision
117,33,-223.10,1.74,48.95,0.0382,0.0000,0,collision
118,80,-202.78,7.76,278.75,0.0030,0.0113,0,collision
119,130,-239.68,2.72,250.42,0.0077,0.0000,0,collision
120,7,-205.91,0.68,5.31,0.1568,0.0000,0,collision
121,32,-189.74,6.93,146.77,0.0242,0.0000,0,collision
122,49,-188.76,7.83,141.37,0.0052,0.0321,0,collision
123,9,-200.46,2.28,16.78,0.0781,0.0000,0,collision
124,41,-207.34,3.20,91.40,0.0189,0.0231,0,collision
125,5,-204.06,0.49,1.82,0.1043,0.0000,0,collision
126,23,-193.27,9.51,153.56,0.0570,0.2939,0,collision
127,16,-198.62,3.05,35.86,0.0076,0.0000,0,collision
128,12,-214.72,0.35,3.28,0.0650,0.0000,0,collision
129,35,-185.39,6.08,176.50,0.0006,0.0000,0,collision
130,39,-213.68,2.75,73.09,0.0449,0.0063,0,collision
131,50,-159.11,19.27,143.34,0.0214,0.0141,0,collision
132,26,-198.32,3.43,59.12,0.0356,0.0279,0,collision
133,171,-217.88,4.10,522.08,0.0019,0.0121,0,collision
134,86,-196.64,7.07,272.39,0.0229,0.0142,0,collision
135,37,-195.84,6.29,112.76,0.0316,0.0000,0,collision
136,73,-206.14,3.72,199.58,0.0102,0.0527,0,collision
137,10,-211.96,0.49,3.57,0.0000,0.1730,0,collision
138,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
139,7,-206.24,0.71,4.19,0.1079,0.0000,0,collision
140,9,-208.79,0.85,4.55,0.0634,0.0907,0,collision
141,124,-147.38,7.13,527.10,0.0066,0.0042,0,collision
142,7,-204.76,1.11,2.14,0.0381,0.1476,0,collision
143,25,-210.20,1.98,31.29,0.0280,0.0000,0,collision
144,20,-203.83,2.71,35.05,0.0324,0.0569,0,collision
145,96,-185.43,5.62,294.43,0.0200,0.0000,0,collision
146,22,-198.10,4.38,77.87,0.0882,0.0000,0,collision
147,7,-208.26,0.31,1.56,0.2207,0.0000,0,collision
148,27,-221.91,0.96,20.48,0.0184,0.0000,0,collision
149,22,-202.35,3.82,73.91,0.0878,0.0000,0,collision
150,17,-216.03,0.91,11.34,0.0115,0.0000,0,collision
151,14,-209.64,1.21,11.57,0.0570,0.0000,0,collision
152,6,-207.40,0.10,0.63,0.0206,0.0000,0,collision
153,87,-197.58,7.89,106.50,0.0047,0.0000,0,collision
154,27,-185.23,10.14,111.04,0.0009,0.0408,0,collision
155,131,-162.52,7.59,524.60,0.0031,0.0470,0,collision
156,52,-206.36,5.19,188.06,0.0024,0.0044,0,collision
157,18,-219.45,0.87,13.64,0.0138,0.0287,0,collision
158,46,-201.04,5.24,180.27,0.0049,0.0656,0,collision
159,76,-247.07,2.34,121.64,0.0045,0.0318,0,collision
160,23,-205.47,2.92,38.48,0.0094,0.0426,0,collision
161,43,-212.65,3.01,91.53,0.0182,0.0000,0,collision
162,39,-223.94,1.69,61.45,0.0055,0.0000,0,collision
163,7,-205.79,0.92,6.24,0.1243,0.0000,0,collision
164,39,-233.22,1.28,41.69,0.0133,0.0521,0,collision
165,41,-182.05,6.52,202.86,0.0098,0.0000,0,collision
166,20,-224.69,0.49,7.32,0.0298,0.0000,0,collision
167,6,-202.58,1.50,9.13,0.1905,0.0403,0,collision
168,8,-208.89,0.39,2.55,0.2151,0.1198,0,collision
169,5,-203.45,0.83,4.45,0.2769,0.0000,0,collision
170,27,-198.04,5.40,124.27,0.0741,0.0275,0,collision
171,37,-200.00,3.47,97.45,0.0158,0.0519,0,collision
172,24,-194.07,3.86,64.05,0.0409,0.0056,0,collision
173,5,-205.93,0.03,0.41,0.1707,0.0000,0,collision
174,15,-202.01,2.48,28.13,0.0814,0.0000,0,collision
175,11,-208.66,1.06,8.10,0.1074,0.0796,0,collision
176,8,-205.94,1.22,6.64,0.0000,0.0000,0,collision
177,47,-166.38,16.36,114.70,0.0192,0.0293,0,collision
178,43,-204.23,3.61,100.47,0.0007,0.0000,0,collision
179,27,-207.55,3.03,62.15,0.0444,0.0749,0,collision
180,69,-204.51,4.44,136.03,0.0034,0.0000,0,collision
181,36,-223.27,1.59,38.26,0.0082,0.0160,0,collision
182,22,-190.21,5.07,72.70,0.0058,0.0000,0,collision
183,30,-213.98,2.06,32.89,0.0022,0.0000,0,collision
184,71,-158.68,9.98,198.90,0.0083,0.0000,0,collision
185,13,-213.35,0.80,6.19,0.0171,0.0000,0,collision
186,42,-230.19,1.46,33.56,0.0124,0.0020,0,collision
187,29,-206.35,2.60,52.81,0.0002,0.0000,0,collision
188,28,-194.68,5.32,111.53,0.0408,0.0160,0,collision
189,30,-198.45,4.03,92.19,0.0000,0.0366,0,collision
190,12,-199.37,2.60,17.65,0.0936,0.0478,0,collision
191,3,-203.34,0.00,0.20,0.5256,0.0648,0,collision
192,11,-204.45,2.10,17.68,0.0006,0.0924,0,collision
193,5,-200.36,1.68,6.87,0.0581,0.0000,0,collision
194,19,-208.79,2.22,24.39,0.0068,0.0064,0,collision
195,7,-202.71,1.55,8.48,0.1035,0.0000,0,collision
196,123,-256.13,2.32,177.00,0.0046,0.0189,0,collision
197,28,-212.76,2.41,67.28,0.0000,0.0000,0,collision
198,51,-257.84,0.73,32.47,0.0000,0.0490,0,collision
199,89,-186.87,6.71,272.05,0.0066,0.0120,0,collision
200,43,-176.67,14.72,130.02,0.0022,0.0132,0,collision
201,32,-211.75,2.04,45.10,0.0384,0.0000,0,collision
202,41,-204.87,3.79,125.91,0.0303,0.0124,0,collision
203,101,-248.46,2.17,139.38,0.0055,0.0084,0,collision
204,33,-216.51,2.01,46.24,0.0063,0.0164,0,collision
205,20,-218.42,1.09,13.53,0.0319,0.0000,0,collision
206,4,-204.56,0.25,0.50,0.1117,0.1656,0,collision
207,61,-251.75,1.24,45.64,0.0183,0.0020,0,collision
208,44,-223.51,1.73,43.59,0.0015,0.0195,0,collision
209,52,-190.10,5.47,193.38,0.0001,0.0000,0,collision
210,57,-231.55,1.93,67.02,0.0089,0.0000,0,collision
211,42,-192.03,4.60,160.38,0.0020,0.0633,0,collision
212,4,-203.59,0.52,1.18,0.4997,0.0000,0,collision
213,95,-249.75,2.00,114.91,0.0096,0.0012,0,collision
21,68,-157.96,9.42,415.96,0.0158,0.0201,0,collision
22,26,-211.84,1.90,32.11,0.0736,0.0000,0,collision
23,172,-218.28,7.23,307.01,0.0116,0.0024,0,collision
24,8,-202.67,1.59,9.21,0.2428,0.0000,0,collision
25,71,-274.98,1.08,55.36,0.0030,0.0339,0,collision
26,5,-206.72,0.00,0.40,0.0696,0.0000,0,collision
27,9,-211.72,0.23,1.51,0.0736,0.0000,0,collision
28,16,-215.12,1.06,12.02,0.0176,0.0000,0,collision
29,166,-220.18,4.08,452.02,0.0046,0.0104,0,collision
30,29,-216.34,1.89,60.99,0.0668,0.0000,0,collision
214,187,-349.04,2.93,371.80,0.0030,0.0093,0,collision
215,24,-187.18,7.27,130.56,0.0466,0.0000,0,collision
216,18,-205.38,2.40,20.92,0.0691,0.1054,0,collision
217,10,-214.05,0.04,0.92,0.0749,0.0826,0,collision
218,9,-198.91,3.15,16.68,0.0000,0.0000,0,collision
219,11,-209.91,0.95,5.14,0.0793,0.0000,0,collision
220,90,-208.96,4.38,245.97,0.0182,0.0084,0,collision
221,12,-208.59,1.55,14.69,0.0378,0.0000,0,collision
222,9,-209.22,0.61,2.77,0.1736,0.0000,0,collision
223,15,-207.29,2.09,33.17,0.1046,0.0605,0,collision
224,19,-201.04,3.31,38.67,0.0156,0.0351,0,collision
225,48,-188.42,5.88,226.57,0.0242,0.0000,0,collision
226,11,-210.02,0.89,9.35,0.1818,0.0225,0,collision
227,6,-205.00,0.94,3.05,0.0016,0.0000,0,collision
228,24,-200.17,3.37,61.87,0.0615,0.0000,0,collision
229,105,-288.88,1.26,93.35,0.0154,0.0055,0,collision
230,6,-205.45,0.45,1.75,0.1462,0.0000,0,collision
231,22,-220.83,0.70,7.39,0.0046,0.0399,0,collision
232,11,-199.07,3.31,26.92,0.0207,0.0000,0,collision
233,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
234,33,-203.96,2.99,70.71,0.0314,0.0491,0,collision
235,7,-207.87,0.37,2.41,0.1002,0.0000,0,collision
236,19,-212.84,1.65,20.64,0.0172,0.0807,0,collision
237,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
238,53,-195.76,4.49,187.15,0.0231,0.0343,0,collision
239,10,-207.63,1.38,11.77,0.0463,0.1110,0,collision
240,12,-203.35,2.30,13.37,0.0909,0.0000,0,collision
241,11,-208.83,0.97,7.30,0.1307,0.0000,0,collision
242,62,-198.51,4.15,156.02,0.0195,0.0000,0,collision
243,28,-207.40,2.81,57.74,0.0291,0.0000,0,collision
244,73,-161.64,8.75,278.48,0.0017,0.0245,0,collision
245,93,-225.36,4.04,306.00,0.0030,0.0087,0,collision
