episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,4,-203.16,0.36,0.94,0.2261,0.0000,0,collision
2,94,-150.21,13.72,109.49,0.0121,0.0024,0,collision
3,13,-212.54,0.90,7.56,0.1021,0.0000,0,collision
4,2,-200.86,0.00,0.10,0.7838,0.0000,0,collision
5,108,-255.03,2.40,181.28,0.0094,0.0033,0,collision
6,45,-195.25,3.99,143.77,0.0131,0.0345,0,collision
7,9,-202.98,1.94,11.31,0.1073,0.0000,0,collision
8,7,-200.00,2.84,16.59,0.0228,0.0000,0,collision
9,27,-204.98,2.50,38.03,0.0305,0.0000,0,collision
10,30,-217.74,2.18,57.46,0.0081,0.0554,0,collision
1,22,-222.42,1.48,27.96,0.0513,0.0000,0,collision
2,6,-200.71,2.01,16.02,0.0728,0.0000,0,collision
3,49,-191.07,6.20,194.28,0.0204,0.0841,0,collision
4,24,-210.14,2.13,33.45,0.0203,0.0000,0,collision
5,5,-205.91,0.00,0.40,0.1548,0.0000,0,collision
6,28,-184.30,7.16,159.54,0.0088,0.0325,0,collision
7,70,-175.00,8.70,246.26,0.0046,0.0102,0,collision
8,48,-235.42,1.44,62.46,0.0032,0.0000,0,collision
9,6,-201.43,2.20,9.82,0.0331,0.2266,0,collision
10,26,-207.32,3.03,60.17,0.0055,0.0000,0,collision
11,119,-185.74,5.41,455.50,0.0025,0.0000,0,collision
12,36,-207.17,2.64,51.64,0.0297,0.0000,0,collision
13,71,-160.50,11.57,303.14,0.0112,0.0224,0,collision
14,8,-207.10,0.78,10.44,0.2500,0.0000,0,collision
15,9,-201.03,2.28,19.07,0.1018,0.0000,0,collision
16,61,-210.34,4.40,146.44,0.0105,0.0060,0,collision
17,8,-212.53,0.00,0.70,0.1147,0.1103,0,collision
18,7,-207.30,0.38,1.71,0.0457,0.0000,0,collision
19,42,-189.54,6.29,153.06,0.0199,0.0000,0,collision
20,10,-212.76,0.41,3.34,0.0864,0.0933,0,collision
21,74,-224.47,3.02,178.29,0.0202,0.0250,0,collision
22,95,-177.73,5.88,396.85,0.0058,0.0267,0,collision
23,17,-209.52,1.81,21.13,0.0952,0.0000,0,collision
24,32,-218.45,1.73,48.95,0.0302,0.0000,0,collision
25,79,-174.20,8.20,350.00,0.0023,0.0000,0,collision
26,8,-207.04,0.71,6.78,0.2111,0.0000,0,collision
27,3,-202.57,0.00,0.20,0.1519,0.0000,0,collision
28,8,-205.00,1.23,3.02,0.0397,0.0000,0,collision
29,52,-208.05,3.29,106.69,0.0203,0.0000,0,collision
30,6,-205.93,0.61,1.52,0.2094,0.0000,0,collision
31,47,-204.11,2.86,90.50,0.0345,0.0187,0,collision
32,58,-158.19,13.72,134.78,0.0178,0.0126,0,collision
33,197,-167.71,6.75,683.69,0.0023,0.0105,0,collision
34,5,-205.45,0.42,2.04,0.1757,0.0000,0,collision
35,38,-230.93,1.37,36.71,0.0225,0.0446,0,collision
36,35,-220.64,1.79,30.71,0.0234,0.0231,0,collision
37,136,-154.15,10.36,611.32,0.0032,0.0143,0,collision
38,9,-208.12,0.84,3.38,0.0426,0.0000,0,collision
39,9,-211.07,0.38,2.01,0.1699,0.0000,0,collision
40,5,-202.47,1.00,5.40,0.2101,0.0000,0,collision
41,10,-198.97,3.20,31.11,0.0910,0.1193,0,collision
42,97,-165.86,12.88,179.23,0.0119,0.0103,0,collision
43,14,-214.80,0.56,4.00,0.0412,0.0243,0,collision
44,54,-203.69,3.45,121.85,0.0109,0.0000,0,collision
45,87,-176.84,7.17,281.28,0.0120,0.0000,0,collision
46,22,-201.48,2.53,33.27,0.0507,0.0000,0,collision
47,53,-206.51,4.75,186.24,0.0144,0.0510,0,collision
48,33,-209.58,2.88,64.29,0.0132,0.0476,0,collision
49,6,-201.75,1.52,5.82,0.2374,0.0000,0,collision
50,45,-172.66,13.18,199.19,0.0223,0.0379,0,collision
51,13,-205.27,2.08,23.03,0.0558,0.0834,0,collision
52,46,-235.93,1.16,37.76,0.0099,0.0000,0,collision
53,23,-214.23,1.52,21.87,0.0268,0.0373,0,collision
54,6,-200.69,2.41,13.93,0.2023,0.0000,0,collision
55,96,-204.08,4.36,332.63,0.0107,0.0000,0,collision
56,51,-165.93,10.98,318.48,0.0171,0.0269,0,collision
57,70,-210.77,4.32,216.88,0.0222,0.0000,0,collision
58,111,-180.47,6.10,391.02,0.0073,0.0000,0,collision
59,1,-200.00,0.00,0.00,0.0000,0.0000,0,collision
60,12,-197.03,5.35,67.64,0.0531,0.0000,0,collision
61,5,-205.79,0.18,0.62,0.1555,0.1709,0,collision
62,65,-178.67,8.51,237.49,0.0150,0.0355,0,collision
63,7,-198.04,3.28,24.64,0.0777,0.0000,0,collision
64,22,-210.79,1.88,17.66,0.0262,0.0000,0,collision
65,13,-197.79,3.16,23.92,0.0398,0.0000,0,collision
66,15,-214.35,0.90,10.78,0.1048,0.1454,0,collision
67,17,-203.78,3.04,45.20,0.0639,0.0000,0,collision
68,3,-202.52,0.10,0.21,0.1729,0.0000,0,collision
69,24,-200.00,3.62,107.40,0.0196,0.0000,0,collision
70,60,-197.34,6.21,216.80,0.0196,0.0850,0,collision
71,53,-183.53,6.80,157.67,0.0270,0.0000,0,collision
72,13,-200.43,2.64,24.05,0.0484,0.0000,0,collision
73,40,-197.34,3.63,80.16,0.0204,0.0000,0,collision
74,128,-152.08,7.25,545.66,0.0120,0.0001,0,collision
75,19,-212.20,1.69,23.81,0.0449,0.0000,0,collision
76,95,-179.47,7.13,324.95,0.0067,0.0000,0,collision
77,61,-156.26,13.32,258.32,0.0160,0.0000,0,collision
78,57,-163.45,11.38,269.88,0.0040,0.0038,0,collision
