episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,11,-212.71,0.61,4.28,0.1552,0.0862,0,collision
2,21,-216.19,1.16,16.88,0.0038,0.0696,0,collision
3,73,-222.85,2.77,142.87,0.0232,0.0000,0,collision
4,62,-227.52,2.23,98.52,0.0142,0.0209,0,collision
5,10,-211.29,0.57,3.24,0.2000,0.0970,0,collision
6,11,-213.21,0.48,3.70,0.0504,0.0000,0,collision
7,37,-244.65,0.63,14.68,0.0059,0.0329,0,collision
8,7,-208.07,0.26,1.79,0.2286,0.0000,0,collision
9,22,-218.61,1.53,25.73,0.0363,0.0000,0,collision
10,215,-220.35,4.53,673.91,0.0017,0.0037,0,collision
1,33,-224.16,2.74,53.67,0.0161,0.0000,0,collision
2,75,-205.08,4.71,251.11,0.0000,0.0343,0,collision
3,9,-210.80,0.28,2.23,0.1638,0.0000,0,collision
