episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,57,-173.98,14.69,128.45,0.0139,0.0092,0,collision
2,51,-168.60,16.69,55.57,0.0086,0.0168,0,collision
3,34,-158.95,21.98,44.36,0.0277,0.0295,0,collision
4,40,-155.71,19.82,150.49,0.0435,0.0409,0,collision
5,109,-199.58,13.97,246.39,0.0103,0.1400,0,collision
6,28,-155.23,23.55,22.65,0.0367,0.0109,0,collision
7,38,-160.32,20.05,32.42,0.0553,0.0244,0,collision
8,32,-160.30,21.22,45.81,0.0396,0.0059,0,collision
9,30,-154.01,23.56,63.29,0.0430,0.0298,0,collision
10,34,-157.03,22.14,28.44,0.0266,0.0397,0,collision
1,41,-161.07,19.47,1.85,0.0548,0.0281,0,collision
2,37,-160.38,20.00,86.57,0.0142,0.0139,0,collision
3,23,-148.76,26.98,5.52,0.0296,0.0087,0,collision
4,48,-164.81,17.38,53.65,0.0216,0.0149,0,collision
5,75,-188.48,12.59,153.01,0.0163,0.0550,0,collision
6,25,-154.93,25.33,69.20,0.0233,0.0071,0,collision
7,28,-150.58,25.26,41.06,0.0166,0.0411,0,collision
8,61,-182.90,14.90,94.21,0.0178,0.0387,0,collision
9,33,-152.00,21.41,-11.07,0.0375,0.0034,0,collision
10,47,-172.22,17.29,101.07,0.0248,0.0160,0,collision
11,54,-174.29,16.71,8.35,0.0059,0.1590,0,collision
12,38,-155.55,18.98,82.58,0.0633,0.0055,0,collision
13,30,-157.64,21.97,35.81,0.0746,0.0039,0,collision
14,104,-208.88,10.62,140.47,0.0164,0.0000,0,collision
15,45,-165.66,17.82,36.04,0.0163,0.0128,0,collision
16,40,-159.28,19.58,89.80,0.0277,0.0298,0,collision
17,37,-158.29,19.16,-21.73,0.0270,0.0171,0,collision
18,66,-177.48,14.19,165.83,0.0054,0.0091,0,collision
19,26,-152.33,25.65,33.41,0.0501,0.0225,0,collision
20,47,-160.34,17.28,76.68,0.0493,0.0149,0,collision
21,116,-205.22,10.47,191.23,0.0077,0.0411,0,collision
22,25,-151.22,27.47,65.38,0.0597,0.0440,0,collision
23,48,-176.13,17.02,27.60,0.0523,0.0140,0,collision
24,122,-223.18,8.76,159.22,0.0046,0.0000,0,collision
25,38,-157.37,19.68,23.02,0.0100,0.0360,0,collision
26,142,-212.98,11.06,292.89,0.0105,0.0180,0,collision
27,40,-157.17,19.31,110.31,0.0254,0.0221,0,collision
28,113,-212.01,10.29,174.73,0.0108,0.0199,0,collision
29,29,-154.63,23.74,29.98,0.0451,0.0204,0,collision
30,69,-172.49,13.45,122.06,0.0320,0.0082,0,collision
31,29,-151.08,24.40,91.38,0.0521,0.0293,0,collision
32,54,-186.82,16.28,20.80,0.0229,0.0170,0,collision
33,36,-160.11,20.25,18.15,0.0306,0.0171,0,collision
34,74,-175.87,13.24,179.22,0.0086,0.0367,0,collision
35,28,-151.36,23.35,4.19,0.0630,0.0081,0,collision
36,62,-172.68,14.75,147.96,0.0362,0.0157,0,collision
37,24,-149.58,26.18,47.38,0.0376,0.0090,0,collision
38,38,-155.78,20.38,55.44,0.0330,0.0293,0,collision
39,31,-157.35,21.14,45.00,0.0102,0.0032,0,collision
11,135,-220.69,8.15,190.98,0.0089,0.0199,0,collision
12,82,-186.05,12.77,119.74,0.0213,0.0190,0,collision
13,50,-166.06,16.39,40.09,0.0070,0.0098,0,collision
14,78,-179.54,12.99,173.50,0.0165,0.0352,0,collision
15,27,-150.80,24.86,75.14,0.0428,0.0007,0,collision
16,75,-186.20,13.07,61.95,0.0044,0.0346,0,collision
17,58,-176.92,15.24,78.71,0.0023,0.0163,0,collision
18,60,-175.45,15.16,69.53,0.0172,0.0183,0,collision
19,32,-157.29,22.51,131.87,0.0344,0.0256,0,collision
20,24,-153.80,26.25,-13.48,0.0265,0.0100,0,collision
40,76,-179.32,13.06,117.86,0.0137,0.0075,0,collision
41,179,-285.63,6.17,331.65,0.0005,0.0190,0,collision
42,96,-216.26,5.91,109.91,0.0105,0.0124,0,collision
43,45,-164.57,17.82,120.25,0.0120,0.0559,0,collision
44,84,-186.21,12.67,133.73,0.0138,0.0161,0,collision
45,63,-189.49,13.95,11.04,0.0407,0.0000,0,collision
46,28,-150.08,25.22,5.78,0.0337,0.0327,0,collision
47,134,-246.20,8.49,106.35,0.0028,0.0430,0,collision
48,21,-148.26,30.09,31.50,0.0503,0.0271,0,collision
49,73,-183.14,13.76,47.36,0.0141,0.0149,0,collision
50,65,-204.55,8.85,94.34,0.0196,0.0000,0,collision
51,61,-185.73,14.49,104.95,0.0036,0.0097,0,collision
52,57,-163.06,15.44,215.70,0.0237,0.0252,0,collision
53,65,-173.27,14.26,42.96,0.0255,0.0065,0,collision
54,173,-241.28,11.16,383.61,0.0045,0.0908,0,collision
55,62,-181.45,15.08,14.72,0.0449,0.0176,0,collision
56,25,-151.66,27.63,-9.46,0.0398,0.0342,0,collision
57,70,-172.13,13.65,151.15,0.0061,0.0071,0,collision
58,126,-238.84,8.83,97.03,0.0096,0.0101,0,collision
59,156,-246.06,7.55,163.58,0.0115,0.0679,0,collision
60,75,-202.73,3.63,86.61,0.0000,0.0000,0,collision
61,58,-163.94,15.29,97.11,0.0285,0.0273,0,collision
62,58,-177.84,15.18,56.03,0.0084,0.0125,0,collision
63,122,-248.18,9.04,84.30,0.0096,0.0104,0,collision
21,139,-242.60,7.79,108.18,0.0034,0.0401,0,collision
22,53,-167.21,16.09,119.75,0.0135,0.0163,0,collision
23,44,-166.50,17.56,79.99,0.0235,0.0149,0,collision
24,42,-162.81,6.81,10.97,0.0000,0.0000,0,collision
25,94,-212.48,6.42,149.27,0.0212,0.0199,0,collision
26,55,-167.92,16.26,11.07,0.0242,0.0191,0,collision
27,100,-236.70,6.42,30.70,0.0063,0.0198,0,collision
28,51,-173.57,16.83,-14.05,0.0208,0.0207,0,collision
29,35,-158.82,20.51,26.97,0.0145,0.0111,0,collision
30,119,-209.77,13.86,66.00,0.0033,0.0297,0,collision
64,138,-220.99,13.30,279.26,0.0050,0.0134,0,collision
65,58,-175.73,14.60,215.09,0.0171,0.0634,0,collision
66,106,-231.67,5.31,74.23,0.0075,0.0010,0,collision
67,44,-170.35,17.26,17.79,0.0408,0.0074,0,collision
68,31,-156.12,22.95,37.17,0.0273,0.0223,0,collision
69,21,-151.59,31.36,22.33,0.1503,0.0453,0,collision
70,33,-152.22,22.21,74.61,0.0265,0.0235,0,collision
71,137,-239.40,8.72,245.86,0.0059,0.0502,0,collision
72,142,-231.22,8.30,142.78,0.0098,0.0547,0,collision
73,113,-225.80,6.67,130.58,0.0239,0.0308,0,collision
74,68,-177.61,14.34,187.87,0.0145,0.0092,0,collision
75,62,-167.96,15.12,109.96,0.0168,0.0206,0,collision
76,32,-155.19,21.49,89.49,0.0137,0.0092,0,collision
77,44,-167.33,17.65,38.67,0.0376,0.0157,0,collision
78,76,-193.13,13.19,51.84,0.0045,0.0084,0,collision
79,67,-185.79,14.58,127.40,0.0089,0.0114,0,collision
80,194,-303.98,4.66,311.66,0.0018,0.0336,0,collision
81,95,-229.38,6.07,176.36,0.0116,0.0198,0,collision
82,27,-155.87,24.97,-11.40,0.0376,0.0224,0,collision
83,109,-234.57,5.48,102.49,0.0081,0.0243,0,collision
84,29,-155.46,23.56,16.81,0.0305,0.0172,0,collision
85,165,-267.48,7.00,195.92,0.0076,0.0965,0,collision
86,58,-171.38,15.12,99.48,0.0059,0.0230,0,collision
87,30,-152.47,22.19,39.24,0.0616,0.0099,0,collision
88,102,-223.02,5.66,160.39,0.0056,0.0200,0,collision
89,137,-243.94,10.48,105.54,0.0018,0.0240,0,collision
31,144,-236.15,10.77,249.94,0.0036,0.0559,0,collision
32,29,-151.98,24.41,33.45,0.0763,0.0076,0,collision
33,128,-241.12,9.06,137.59,0.0056,0.0873,0,collision
34,77,-179.18,20.49,166.16,0.0135,0.0162,0,collision
35,37,-158.17,19.82,24.75,0.0457,0.0043,0,collision
36,48,-165.74,17.55,81.55,0.0137,0.0214,0,collision
37,57,-182.28,15.02,109.32,0.0181,0.0081,0,collision
38,38,-157.21,20.51,45.83,0.0200,0.0286,0,collision
39,46,-157.80,17.21,18.10,0.0195,0.0145,0,collision
