episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,238,-287.42,4.10,76.38,0.0017,0.0256,0,collision
2,166,-250.45,5.55,158.93,0.0054,0.0247,0,collision
3,156,-241.78,3.89,195.72,0.0033,0.0252,0,collision
4,79,-194.77,7.72,-42.30,0.0121,0.0000,0,collision
5,147,-231.76,5.80,171.41,0.0086,0.0138,0,collision
6,139,-232.69,6.38,47.32,0.0023,0.0000,0,collision
7,118,-219.94,7.23,43.06,0.0084,0.0000,0,collision
8,134,-228.20,6.89,197.16,0.0147,0.0167,0,collision
9,214,-314.31,5.41,115.39,0.0027,0.0348,0,collision
10,111,-238.70,5.32,105.33,0.0251,0.0216,0,collision
1,228,-374.51,2.88,109.08,0.0074,0.1493,0,collision
2,167,-268.07,5.02,255.09,0.0090,0.0375,0,collision
3,108,-232.28,6.11,1.49,0.0022,0.0219,0,collision
4,113,-218.60,7.12,129.22,0.0089,0.0000,0,collision
5,156,-214.42,6.88,178.12,0.0086,0.0466,0,collision
6,155,-258.70,4.80,175.64,0.0039,0.0215,0,collision
7,126,-202.15,6.74,-26.91,0.0117,0.0000,0,collision
8,139,-243.18,4.73,10.50,0.0025,0.0282,0,collision
9,159,-244.90,7.25,-34.39,0.0157,0.0214,0,collision
10,232,-344.53,3.07,166.79,0.0033,0.0266,0,collision
11,159,-252.39,5.18,275.10,0.0029,0.0219,0,collision
12,199,-304.13,3.46,174.03,0.0067,0.0180,0,collision
11,235,-349.10,4.43,117.47,0.0042,0.0432,0,collision
12,162,-251.03,5.53,180.46,0.0085,0.0000,0,collision
13,347,-434.95,3.31,191.28,0.0041,0.0466,0,collision
14,142,-271.95,5.25,152.17,0.0062,0.0228,0,collision
15,179,-239.10,5.65,-60.56,0.0063,0.0229,0,collision
16,313,-396.45,3.54,157.13,0.0057,0.0458,0,collision
17,152,-257.70,3.90,48.54,0.0193,0.1138,0,collision
18,266,-353.62,4.01,113.07,0.0029,0.0284,0,collision
19,245,-320.54,4.66,205.66,0.0094,0.0649,0,collision
20,157,-250.20,6.19,-19.68,0.0091,0.0168,0,collision
13,270,-343.26,5.92,115.28,0.0059,0.0932,0,collision
14,262,-317.50,4.07,116.97,0.0035,0.0752,0,collision
15,208,-322.61,3.46,63.87,0.0087,0.0243,0,collision
16,220,-320.59,3.07,84.59,0.0051,0.0678,0,collision
17,164,-256.52,5.28,151.87,0.0124,0.0333,0,collision
18,171,-229.30,7.02,199.66,0.0194,0.0579,0,collision
19,149,-267.95,5.48,242.47,0.0068,0.0233,0,collision
20,131,-239.46,4.69,120.67,0.0074,0.0081,0,collision
21,149,-235.90,5.43,221.30,0.0061,0.0427,0,collision
22,102,-207.72,5.91,109.72,0.0220,0.0384,0,collision
23,154,-247.04,5.98,293.89,0.0163,0.0766,0,collision
24,138,-262.53,4.08,110.76,0.0081,0.0524,0,collision
21,193,-268.48,4.17,171.14,0.0122,0.0368,0,collision
22,137,-241.87,5.12,203.82,0.0107,0.0832,0,collision
23,122,-203.15,7.25,143.92,0.0218,0.0070,0,collision
24,119,-214.09,5.84,-15.89,0.0122,0.0348,0,collision
25,160,-249.11,3.81,165.45,0.0042,0.0111,0,collision
26,203,-285.02,3.61,159.15,0.0033,0.0272,0,collision
27,231,-323.70,3.18,157.94,0.0016,0.0180,0,collision
28,214,-295.67,4.80,149.64,0.0105,0.1001,0,collision
29,193,-279.96,4.00,86.10,0.0050,0.0488,0,collision
30,225,-293.55,3.91,105.59,0.0050,0.0427,0,collision
25,243,-289.73,4.40,110.35,0.0035,0.0204,0,collision
26,134,-223.78,4.59,37.78,0.0020,0.0089,0,collision
27,206,-296.15,3.60,157.06,0.0090,0.0258,0,collision
28,132,-274.61,4.26,88.09,0.0109,0.1563,0,collision
29,175,-255.21,5.72,187.85,0.0121,0.0391,0,collision
30,209,-293.60,3.97,273.77,0.0158,0.0332,0,collision
31,210,-322.71,2.69,71.12,0.0023,0.0901,0,collision
32,151,-237.24,4.84,144.58,0.0092,0.0326,0,collision
