episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,312,-446.62,1.96,110.50,0.0047,0.0425,0,unknown
2,326,-463.25,1.79,197.55,0.0079,0.0325,0,unknown
3,305,-442.45,1.86,202.14,0.0042,0.0286,0,unknown
4,440,-558.83,2.28,217.89,0.0040,0.0633,0,unknown
5,216,-334.81,2.61,113.15,0.0042,0.0320,0,unknown
6,319,-469.49,1.85,82.43,0.0027,0.0084,0,unknown
7,173,-295.62,1.65,75.94,0.0000,0.0000,0,unknown
8,328,-465.84,1.81,103.42,0.0082,0.0226,0,unknown
9,355,-459.34,2.36,228.75,0.0019,0.0454,0,unknown
10,299,-433.28,2.00,120.31,0.0073,0.0363,0,unknown
1,345,-476.84,1.74,181.16,0.0024,0.0589,0,unknown
2,354,-500.45,1.74,158.25,0.0028,0.0417,0,unknown
3,316,-430.03,1.90,189.07,0.0035,0.0792,0,unknown
4,270,-383.24,2.19,63.34,0.0046,0.0403,0,unknown
5,362,-484.10,1.91,161.05,0.0023,0.0456,0,unknown
6,364,-527.70,1.79,194.87,0.0046,0.1064,0,unknown
11,218,-356.72,3.09,197.53,0.0072,0.0347,0,unknown
12,159,-276.98,3.84,129.50,0.0152,0.0239,0,unknown
13,248,-377.61,2.44,154.16,0.0036,0.0082,0,unknown
14,281,-391.51,2.39,205.00,0.0031,0.0190,0,unknown
15,131,-244.56,4.50,148.60,0.0085,0.0107,0,unknown
16,144,-269.42,4.20,105.25,0.0107,0.0017,0,unknown
17,215,-327.61,3.26,170.93,0.0039,0.0133,0,unknown
