episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,24,-201.14,3.67,66.91,0.0395,0.0000,0,collision
2,67,-215.15,2.93,128.24,0.0214,0.0000,0,collision
3,49,-235.77,1.61,46.40,0.0212,0.0000,0,collision
4,46,-206.51,3.45,79.20,0.0132,0.0034,0,collision
5,31,-186.41,9.28,119.21,0.0207,0.0477,0,collision
6,3,-203.36,0.00,0.20,0.2993,0.0000,0,collision
7,19,-223.44,0.52,6.83,0.0335,0.0000,0,collision
8,8,-211.63,0.04,0.72,0.1049,0.0000,0,collision
9,43,-211.62,3.34,98.40,0.0457,0.0233,0,collision
10,33,-199.75,3.92,75.31,0.0124,0.0000,0,collision
1,7,-206.27,2.30,13.01,0.0888,0.3869,0,collision
2,13,-207.62,1.70,13.03,0.1284,0.1931,0,collision
3,12,-196.88,4.04,42.10,0.1473,0.0000,0,collision
4,16,-218.69,0.90,11.06,0.0592,0.1757,0,collision
5,67,-159.43,10.00,307.82,0.0102,0.0113,0,collision
6,82,-264.52,1.85,95.60,0.0105,0.0382,0,collision
7,31,-189.30,6.86,94.69,0.0322,0.0244,0,collision
8,31,-190.31,4.98,84.74,0.0063,0.0347,0,collision
9,22,-198.95,3.16,40.19,0.0411,0.1192,0,collision
10,13,-215.65,0.50,4.46,0.0662,0.0000,0,collision
11,52,-192.17,3.47,109.95,0.0088,0.0568,0,collision
12,8,-210.53,0.55,4.09,0.1066,0.1777,0,collision
13,14,-199.39,3.49,30.21,0.0194,0.0000,0,collision
14,11,-197.44,3.80,28.73,0.0864,0.0000,0,collision
15,42,-213.48,2.22,62.56,0.0200,0.0000,0,collision
16,29,-222.95,1.22,26.07,0.0510,0.0000,0,collision
17,92,-194.66,6.44,335.28,0.0097,0.0582,0,collision
18,7,-207.13,0.30,1.28,0.1069,0.0000,0,collision
19,26,-215.80,2.03,47.39,0.0206,0.0000,0,collision
20,49,-211.76,3.33,91.71,0.0340,0.0101,0,collision
21,7,-204.64,1.05,7.96,0.0960,0.0000,0,collision
22,19,-207.51,1.89,31.01,0.0687,0.0405,0,collision
23,10,-207.68,1.07,7.73,0.1388,0.1058,0,collision
24,164,-207.42,5.73,489.99,0.0036,0.0399,0,collision
25,87,-209.30,3.60,169.89,0.0110,0.0000,0,collision
26,198,-213.70,4.54,608.63,0.0035,0.0186,0,collision
