episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,351,-501.38,1.77,126.35,0.0023,0.0153,0,collision
2,565,-756.48,1.19,71.76,0.0040,0.0155,0,collision
3,338,-486.90,1.67,158.92,0.0047,0.0219,0,collision
4,526,-704.16,1.35,134.68,0.0030,0.0143,0,collision
5,563,-703.04,1.65,261.37,0.0024,0.0320,0,collision
6,538,-719.50,1.24,79.54,0.0024,0.0146,0,collision
7,513,-708.97,1.15,158.30,0.0032,0.0271,0,collision
8,382,-521.54,1.62,101.27,0.0054,0.0199,0,collision
9,601,-796.51,1.02,175.18,0.0011,0.0414,0,collision
10,519,-681.00,1.28,114.46,0.0017,0.0075,0,collision
1,525,-724.40,1.16,149.22,0.0014,0.0139,0,collision
2,534,-713.15,1.13,106.01,0.0020,0.0224,0,collision
3,598,-845.99,1.00,140.24,0.0030,0.0231,0,collision
11,211,-323.93,2.86,109.73,0.0048,0.0226,0,collision
12,527,-712.32,1.18,96.57,0.0041,0.0199,0,collision
13,531,-717.86,1.37,135.27,0.0008,0.0181,0,collision
14,399,-549.73,1.44,114.78,0.0033,0.0231,0,collision
15,342,-482.00,1.78,168.95,0.0042,0.0089,0,collision
16,535,-699.74,1.35,118.96,0.0031,0.0327,0,collision
17,358,-512.53,1.70,171.62,0.0084,0.0168,0,collision
18,534,-721.41,1.34,144.14,0.0029,0.0285,0,collision
19,536,-711.98,1.41,111.26,0.0027,0.0175,0,collision
20,540,-738.51,1.23,87.02,0.0041,0.0211,0,collision
4,940,-1136.09,1.19,258.72,0.0033,0.0131,0,collision
5,234,-378.44,1.24,20.41,0.0000,0.0000,0,collision
6,551,-688.68,1.94,173.11,0.0019,0.0502,0,collision
7,578,-787.09,1.15,195.20,0.0014,0.0085,0,collision
21,556,-678.61,1.64,168.75,0.0016,0.0404,0,collision
22,557,-702.62,1.53,216.11,0.0041,0.0497,0,collision
23,414,-561.54,1.46,155.26,0.0000,0.0412,0,collision
24,441,-606.61,1.40,157.08,0.0042,0.0276,0,collision
25,318,-446.11,1.87,34.94,0.0047,0.0657,0,collision
26,538,-740.48,1.31,187.45,0.0018,0.0292,0,collision
27,544,-735.55,1.22,141.59,0.0017,0.0253,0,collision
28,550,-726.52,1.22,175.02,0.0022,0.0130,0,collision
29,537,-712.67,1.22,123.32,0.0027,0.0235,0,collision
30,346,-491.51,1.68,62.76,0.0014,0.0205,0,collision
8,539,-694.49,1.71,218.27,0.0022,0.0422,0,collision
9,276,-436.71,2.42,138.45,0.0055,0.0592,0,collision
10,314,-442.12,2.09,215.79,0.0042,0.0490,0,collision
11,531,-729.87,1.41,171.32,0.0035,0.0115,0,collision
12,359,-514.78,1.69,163.94,0.0036,0.0066,0,collision
31,152,-245.78,3.95,128.09,0.0098,0.0152,0,collision
32,117,-219.52,5.29,-5.50,0.0164,0.0029,0,collision
33,264,-366.58,2.55,165.97,0.0046,0.0162,0,collision
34,212,-319.01,2.91,123.68,0.0110,0.0352,0,collision
35,233,-323.88,3.15,270.37,0.0048,0.0253,0,collision
36,124,-254.69,4.56,55.87,0.0032,0.1044,0,collision
37,246,-339.07,4.43,120.01,0.0055,0.0370,0,collision
38,161,-256.89,5.19,21.01,0.0039,0.0206,0,collision
39,215,-323.80,3.78,140.90,0.0073,0.0118,0,collision
40,205,-310.37,3.00,235.27,0.0035,0.0352,0,collision
13,487,-626.31,2.00,242.09,0.0032,0.0222,0,collision
14,183,-279.05,4.77,134.53,0.0078,0.0268,0,collision
15,149,-261.00,4.04,171.00,0.0070,0.1085,0,collision
16,218,-308.14,4.17,119.58,0.0043,0.0285,0,collision
17,184,-300.56,3.29,101.34,0.0131,0.0508,0,collision
18,208,-314.13,3.46,215.83,0.0177,0.0208,0,collision
19,228,-320.75,2.66,132.05,0.0027,0.0276,0,collision
20,281,-386.63,2.09,141.85,0.0032,0.0508,0,collision
21,248,-338.20,4.02,228.00,0.0034,0.0297,0,collision
41,216,-348.03,3.01,62.12,0.0059,0.0337,0,collision
42,289,-418.52,2.03,158.84,0.0056,0.0183,0,collision
43,225,-320.46,3.04,208.49,0.0009,0.0428,0,collision
44,112,-217.83,5.24,-10.00,0.0134,0.0991,0,collision
45,264,-308.07,3.89,286.71,0.0020,0.0402,0,collision
46,158,-273.08,3.70,90.86,0.0043,0.0084,0,collision
47,305,-448.44,2.17,105.09,0.0028,0.0155,0,collision
48,238,-345.16,3.54,149.80,0.0048,0.0179,0,collision
49,325,-412.36,3.14,295.79,0.0015,0.0351,0,collision
50,77,-185.24,8.06,18.98,0.0143,0.0000,0,collision
22,239,-345.11,2.74,201.73,0.0041,0.0092,0,collision
23,186,-313.23,3.25,111.22,0.0091,0.0158,0,collision
24,120,-235.37,4.76,59.98,0.0114,0.1127,0,collision
25,202,-323.54,3.34,140.21,0.0098,0.0197,0,collision
26,225,-304.59,3.67,140.14,0.0048,0.0252,0,collision
27,147,-242.73,7.53,154.30,0.0022,0.0697,0,collision
28,198,-317.47,3.40,61.92,0.0064,0.0204,0,collision
29,236,-344.32,3.59,128.22,0.0109,0.0086,0,collision
30,225,-302.79,3.74,171.61,0.0103,0.0329,0,collision
51,233,-301.51,4.13,181.64,0.0039,0.0261,0,collision
52,113,-208.07,6.90,48.86,0.0049,0.0000,0,collision
53,129,-211.31,7.08,-19.25,0.0167,0.0000,0,collision
54,182,-267.76,6.24,230.40,0.0130,0.0943,0,collision
55,280,-336.77,4.04,192.51,0.0071,0.0725,0,collision
56,217,-293.51,3.29,149.39,0.0018,0.0131,0,collision
57,172,-285.41,3.54,140.58,0.0042,0.0026,0,collision
