episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,81,-261.47,1.66,80.38,0.0081,0.0192,0,collision
2,137,-248.63,2.52,212.85,0.0041,0.0031,0,collision
3,31,-185.06,7.83,161.91,0.0000,0.0000,0,collision
4,6,-203.57,0.64,1.74,0.0997,0.0000,0,collision
5,66,-186.32,5.04,198.11,0.0105,0.0034,0,collision
6,9,-209.83,0.55,2.05,0.0951,0.1077,0,collision
7,21,-186.45,7.47,111.92,0.0478,0.0000,0,collision
8,42,-217.92,2.12,58.52,0.0235,0.0000,0,collision
9,6,-202.03,1.54,4.68,0.1300,0.0000,0,collision
10,42,-188.63,12.74,209.40,0.0288,0.0781,0,collision
1,4,-203.18,0.73,1.33,0.1513,0.0000,0,collision
2,11,-207.24,1.33,13.02,0.0041,0.0699,0,collision
3,19,-203.95,2.50,37.25,0.0464,0.0738,0,collision
4,65,-180.76,4.62,178.93,0.0145,0.0119,0,collision
5,4,-204.25,0.00,0.30,0.2617,0.0590,0,collision
6,61,-166.09,6.62,262.43,0.0056,0.0000,0,collision
7,7,-199.65,3.18,17.82,0.0766,0.0499,0,collision
8,3,-201.82,0.45,1.24,0.0684,0.0863,0,collision
9,72,-216.33,3.10,153.89,0.0111,0.0310,0,collision
10,107,-220.97,4.47,259.71,0.0115,0.0000,0,collision
11,26,-222.48,1.39,22.76,0.0067,0.0974,0,collision
12,35,-225.03,1.79,57.61,0.0063,0.0000,0,collision
13,66,-168.14,8.86,405.34,0.0185,0.0140,0,collision
14,17,-224.04,0.31,2.37,0.0038,0.1325,0,collision
15,31,-210.42,2.34,36.29,0.0023,0.0000,0,collision
16,35,-206.50,2.64,62.31,0.0069,0.0245,0,collision
17,43,-206.02,4.24,123.51,0.0301,0.0000,0,collision
18,9,-206.14,1.12,7.09,0.0525,0.0000,0,collision
19,27,-217.11,2.27,42.72,0.0286,0.0000,0,collision
20,15,-193.95,4.69,44.04,0.0614,0.0453,0,collision
21,3,-201.91,0.00,0.20,0.2552,0.1284,0,collision
22,4,-203.01,0.37,1.50,0.0884,0.0817,0,collision
23,25,-195.97,5.69,99.65,0.0200,0.0507,0,collision
24,157,-193.85,5.63,385.92,0.0110,0.0252,0,collision
25,7,-206.32,0.40,1.79,0.0756,0.0000,0,collision
26,102,-194.53,5.06,324.82,0.0109,0.0000,0,collision
27,176,-147.72,8.70,462.10,0.0030,0.0000,0,collision
28,61,-194.20,3.76,142.01,0.0170,0.0415,0,collision
29,5,-205.03,0.20,0.51,0.1819,0.0000,0,collision
30,113,-214.08,3.28,247.92,0.0032,0.0172,0,collision
