episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
18,116,-313.90,7.80,461.40,0.0062,0.0192,0,collision
14,162,-379.13,5.78,609.22,0.0067,0.0693,0,collision
23,70,-262.81,10.34,279.02,0.0116,0.0140,0,collision
19,88,-290.58,6.92,395.56,0.0098,0.0130,0,collision
20,164,-359.41,6.31,758.10,0.0022,0.0068,0,collision
21,58,-249.67,10.92,155.90,0.0168,0.0242,0,collision
24,263,-499.33,4.20,821.12,0.0040,0.0059,0,collision
22,135,-319.75,7.01,443.63,0.0077,0.0000,0,collision
25,178,-387.67,7.12,577.71,0.0079,0.0425,0,collision
23,115,-316.00,8.18,373.64,0.0099,0.0187,0,collision
26,160,-364.55,6.24,582.08,0.0046,0.0000,0,collision
24,261,-524.24,4.33,857.51,0.0033,0.0157,0,collision
17,186,-446.01,4.28,504.00,0.0080,0.0000,0,collision
13,117,-297.62,10.03,403.63,0.0033,0.0067,0,collision
18,116,-312.18,6.97,432.52,0.0116,0.0000,0,collision
19,182,-391.39,4.90,587.97,0.0066,0.0000,0,collision
14,106,-296.90,7.06,465.21,0.0033,0.0495,0,collision
15,172,-408.45,4.43,521.05,0.0012,0.0000,0,collision
19,109,-313.95,6.91,474.18,0.0083,0.0174,0,collision
20,130,-331.32,6.24,422.32,0.0067,0.0000,0,collision
16,107,-319.27,6.35,434.72,0.0079,0.0096,0,collision
21,153,-362.54,4.65,491.56,0.0047,0.0000,0,collision
20,188,-397.92,6.90,935.51,0.0033,0.0432,0,collision
15,294,-518.93,5.17,977.03,0.0056,0.0219,0,collision
21,43,-230.49,15.71,157.59,0.0180,0.0177,0,collision
17,218,-423.48,5.94,831.46,0.0030,0.0167,0,collision
22,91,-299.50,6.39,359.15,0.0059,0.0111,0,collision
25,60,-252.55,11.01,328.26,0.0245,0.0243,0,collision
26,109,-312.23,5.99,330.71,0.0074,0.0277,0,collision
27,170,-381.75,5.11,585.04,0.0047,0.0142,0,collision
28,158,-384.71,5.95,471.86,0.0057,0.0000,0,collision
27,162,-378.89,5.96,632.06,0.0035,0.0011,0,collision
