episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason,total_timestep
101,4,-198.076,26.443,420.806,0.000,0.000,0,collision,289
102,3,50.971,19.054,266.417,0.000,0.093,1,goal,292
103,1,-200.000,0.000,0.000,0.000,0.330,0,collision,293
104,3,-198.622,20.471,419.318,0.000,0.001,0,collision,296
105,6,-200.238,12.776,424.965,0.167,0.130,0,collision,302
106,2,-199.433,14.551,172.400,0.000,0.365,0,collision,304
107,2,50.173,11.684,68.744,0.000,0.468,1,goal,306
108,3,-199.233,10.005,228.125,0.224,0.403,0,collision,309
109,3,51.458,20.783,416.703,0.000,0.000,1,goal,312
110,1,50.057,5.901,23.728,0.000,0.000,1,goal,313
111,12,-51.950,16.034,624.563,0.000,0.000,1,goal,325
112,6,-203.176,7.060,243.128,0.000,0.078,0,collision,331
113,2,-199.235,14.913,209.507,0.000,0.304,0,collision,333
114,1,49.965,7.619,47.375,0.000,0.000,1,goal,334
115,3,51.019,19.663,347.448,0.000,0.173,1,goal,337
116,2,50.747,13.135,139.257,0.000,0.120,1,goal,339
117,2,50.603,13.905,149.242,0.000,0.089,1,goal,341
118,7,-47.212,24.633,547.062,0.000,0.000,1,goal,348
119,3,51.263,20.341,410.763,0.000,0.000,1,goal,351
120,1,0.000,0.000,0.000,0.000,0.000,0,not_found,352
121,2,50.531,14.341,154.956,0.000,0.032,1,goal,354
122,2,50.379,11.923,70.769,0.000,0.179,1,goal,356
123,3,50.950,19.454,274.090,0.000,0.037,1,goal,359
124,2,50.293,11.920,80.221,0.000,0.006,1,goal,361
125,1,0.000,0.000,0.000,0.000,0.000,0,not_found,362
126,1,0.000,0.000,0.000,0.000,0.000,0,not_found,363
127,1,0.000,0.000,0.000,0.000,0.000,0,not_found,364
128,12,32.290,1.885,177.397,0.000,0.004,1,goal,376
129,2,50.379,4.639,65.412,0.386,0.398,1,goal,378
130,1,-199.799,7.736,42.748,0.000,0.000,0,collision,379
131,5,-47.400,32.303,512.131,0.000,0.000,1,goal,384
132,4,51.792,26.128,416.757,0.000,0.037,1,goal,388
133,2,-199.988,5.355,63.036,0.000,0.187,0,collision,390
134,1,49.994,6.497,26.391,0.000,0.000,1,goal,391
135,9,46.696,13.909,591.690,0.000,0.073,1,goal,400
136,2,-199.414,14.017,164.901,0.000,0.506,0,collision,402
137,5,-199.408,7.752,295.382,0.000,0.149,0,collision,407
138,5,-201.283,6.385,140.351,0.000,0.050,0,collision,412
139,2,50.469,12.582,86.405,0.000,0.041,1,goal,414
140,4,-199.841,9.571,209.619,0.000,0.201,0,collision,418
141,3,-199.076,19.382,251.874,0.000,0.156,0,collision,421
142,3,-199.108,20.305,362.104,0.000,0.000,0,collision,424
143,6,-46.045,36.290,660.631,0.000,0.000,1,goal,430
144,3,-199.764,6.085,119.874,0.000,0.053,0,collision,433
145,1,-200.079,3.672,4.608,0.000,0.230,0,collision,434
146,3,51.075,20.104,332.868,0.000,0.017,1,goal,437
147,2,-199.296,13.799,147.864,0.000,0.195,0,collision,439
148,2,-200.018,12.340,74.320,0.000,0.273,0,collision,441
149,2,-199.571,12.314,83.902,0.000,0.075,0,collision,443
150,1,50.326,8.583,53.975,0.000,0.000,1,goal,444
151,1,50.000,0.000,0.000,0.000,0.000,1,goal,445
152,3,-199.265,19.419,252.542,0.000,0.142,0,collision,448
153,5,51.259,13.180,353.808,0.000,0.077,1,goal,453
154,2,-199.334,13.471,143.596,0.000,0.468,0,collision,455
155,1,0.000,0.000,0.000,0.000,0.000,0,not_found,456
156,1,50.259,7.742,48.210,0.000,0.000,1,goal,457
157,1,0.000,0.000,0.000,0.000,0.000,0,not_found,458
158,2,-199.683,12.513,75.789,0.000,0.055,0,collision,460
159,3,-198.848,19.823,376.463,0.000,0.093,0,collision,463
160,1,50.155,7.151,34.267,0.000,0.000,1,goal,464
161,3,51.469,21.628,405.080,0.000,0.101,1,goal,467
162,2,50.556,14.104,138.198,0.000,0.086,1,goal,469
163,1,-199.931,7.125,39.059,0.000,0.000,0,collision,470
164,3,-199.389,9.670,219.570,0.086,0.636,0,collision,473
165,2,-199.649,12.087,81.777,0.000,0.321,0,collision,475
166,1,-199.836,7.685,42.441,0.000,0.133,0,collision,476
167,2,50.742,15.332,216.272,0.000,0.275,1,goal,478
168,1,0.000,0.000,0.000,0.000,0.000,0,not_found,479
169,3,51.020,19.234,291.501,0.000,0.011,1,goal,482
170,1,49.757,6.005,20.138,0.000,0.000,1,goal,483
171,3,-201.511,3.107,66.762,0.000,0.000,0,collision,486
172,1,0.000,0.000,0.000,0.000,0.000,0,not_found,487
173,1,0.000,0.000,0.000,0.000,0.000,0,not_found,488
174,2,50.245,4.192,58.546,0.046,0.495,1,goal,490
175,3,-198.842,20.063,382.225,0.000,0.516,0,collision,493
176,3,50.793,19.375,251.733,0.000,0.155,1,goal,496
177,3,-198.629,20.759,394.024,0.000,0.354,0,collision,499
178,3,-199.368,5.012,109.021,0.250,0.034,0,collision,502
179,3,-198.940,20.301,337.155,0.000,0.170,0,collision,505
180,8,-202.070,10.942,633.848,0.091,0.036,0,collision,513
181,2,50.344,4.591,64.675,0.095,0.409,1,goal,515
