episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
1,1,-199.654,8.018,50.095,0.000,0.087,0,collision
2,3,50.992,19.731,348.999,0.000,0.020,1,goal
3,1,0.000,0.000,0.000,0.000,0.000,0,not_found
4,4,-198.402,26.594,395.898,0.000,0.000,0,collision
5,7,-202.688,8.062,401.006,0.000,0.138,0,collision
6,1,50.314,8.723,54.941,0.000,0.000,1,goal
7,1,-200.188,5.623,14.962,0.000,0.768,0,collision
8,2,-199.692,12.388,95.006,0.000,0.430,0,collision
9,2,50.305,14.199,153.089,0.000,0.018,1,goal
10,1,49.905,3.171,3.879,0.000,0.000,1,goal
